Tidal Current Constituents,,,,,,
Columns,,,,,,
Constituent,Longitude,Latitude,U Amplitude (m),U Phase (deg GMT),V Amplitude (m),V Phase (deg GMT)
Q1:,-124.712,48.4145,0.027718,150.022909,0.009369,119.179685
K1:,-124.712,48.4145,0.360048,179.552022,0.026802,155.510551
K2:,-124.712,48.4145,0.039197,264.518535,0.016504,137.126121
N2:,-124.712,48.4145,0.113182,245.076322,0.005796,149.860087
M2:,-124.712,48.4145,0.531786,275.323647,0.023796,177.870586
S2:,-124.712,48.4145,0.133421,300.776066,0.008114,169.846583
O1:,-124.716,48.4185,0.193495,158.32669,0.038266,139.928614
P1:,-124.716,48.4185,0.115503,178.19673,0.01,177.363394
Q1:,-124.716,48.4185,0.029738,151.085349,0.008968,117.687429
K1:,-124.716,48.4185,0.373215,182.02767,0.023716,153.746677
K2:,-124.716,48.4185,0.041269,269.810608,0.017901,145.920198
N2:,-124.716,48.4185,0.113863,249.378964,0.009197,179.617389
M2:,-124.716,48.4185,0.533487,279.552721,0.039702,210.707087
S2:,-124.716,48.4185,0.133902,304.913237,0.009523,207.866191
O1:,-124.719,48.4225,0.191362,161.015409,0.040901,147.957927
P1:,-124.719,48.4225,0.11414,181.580178,0.013397,189.688204
Q1:,-124.719,48.4225,0.029419,153.544228,0.008629,124.382169
K1:,-124.719,48.4225,0.367316,185.381652,0.032226,179.424562
K2:,-124.719,48.4225,0.038612,272.710675,0.015661,152.515019
N2:,-124.719,48.4225,0.107327,252.692528,0.010478,222.935772
M2:,-124.719,48.4225,0.50269,282.610108,0.045329,254.396812
S2:,-124.719,48.4225,0.126194,307.782066,0.007646,258.015264
O1:,-124.722,48.4264,0.186118,163.009553,0.035512,155.595522
P1:,-124.722,48.4264,0.111958,184.593978,0.012882,200.572512
Q1:,-124.722,48.4264,0.028622,155.323994,0.006761,130.297003
K1:,-124.722,48.4264,0.357477,188.463097,0.032299,196.460959
K2:,-124.722,48.4264,0.037049,280.906496,0.013912,169.13124
N2:,-124.722,48.4264,0.102399,257.614058,0.014632,239.242677
M2:,-124.722,48.4264,0.478214,287.149611,0.062338,270.967898
S2:,-124.722,48.4264,0.120469,312.394429,0.011292,284.518258
O1:,-124.726,48.4304,0.178863,165.057352,0.030829,170.155148
P1:,-124.726,48.4304,0.10895,187.847718,0.013404,216.275274
Q1:,-124.726,48.4304,0.027491,157.118663,0.004822,145.239045
K1:,-124.726,48.4304,0.344677,191.861895,0.037191,217.5346
K2:,-124.726,48.4304,0.036368,290.473488,0.013621,190.110683
N2:,-124.726,48.4304,0.097511,263.372505,0.019544,248.694001
M2:,-124.726,48.4304,0.452998,292.496404,0.082693,280.967332
S2:,-124.726,48.4304,0.114681,317.79554,0.016239,297.768509
O1:,-124.729,48.4344,0.170693,167.9819,0.036948,178.392888
P1:,-124.729,48.4344,0.103773,190.898881,0.01828,219.763173
Q1:,-124.729,48.4344,0.026286,160.407098,0.005559,157.673274
K1:,-124.729,48.4344,0.328212,194.829435,0.052793,222.399632
K2:,-124.729,48.4344,0.034234,291.586705,0.013144,193.432862
N2:,-124.729,48.4344,0.09208,264.347484,0.019669,254.927094
M2:,-124.729,48.4344,0.427724,293.489115,0.083914,287.348904
S2:,-124.729,48.4344,0.108332,318.845111,0.016526,304.962878
O1:,-124.732,48.4384,0.162876,171.234775,0.044145,183.911265
P1:,-124.732,48.4384,0.098738,194.253265,0.023456,221.483526
Q1:,-124.732,48.4384,0.025158,164.075359,0.00661,166.382181
K1:,-124.732,48.4384,0.312291,198.0759,0.069222,224.745459
K2:,-124.732,48.4384,0.031989,292.328776,0.012623,196.03072
N2:,-124.732,48.4384,0.086556,265.147132,0.019775,261.214988
M2:,-124.732,48.4384,0.402157,294.33245,0.085157,293.663965
S2:,-124.732,48.4384,0.101883,319.751362,0.016813,312.053547
O1:,-124.736,48.4424,0.156841,173.674024,0.044297,184.813508
P1:,-124.736,48.4424,0.09516,196.312685,0.023506,221.061839
Q1:,-124.736,48.4424,0.024411,167.133968,0.006674,168.187169
K1:,-124.736,48.4424,0.30141,200.056201,0.069828,224.083226
K2:,-124.736,48.4424,0.029994,295.656715,0.011367,203.220058
N2:,-124.736,48.4424,0.08306,266.168199,0.019357,263.125777
M2:,-124.736,48.4424,0.386854,295.324185,0.083396,294.935873
S2:,-124.736,48.4424,0.098073,321.039702,0.017012,313.352194
O1:,-124.739,48.4464,0.151305,175.294318,0.044614,187.336643
P1:,-124.739,48.4464,0.091669,197.610863,0.023698,222.500505
Q1:,-124.739,48.4464,0.023733,169.071876,0.006736,171.296799
K1:,-124.739,48.4464,0.290742,201.256341,0.070778,225.483047
K2:,-124.739,48.4464,0.027993,298.409423,0.009934,209.663758
N2:,-124.739,48.4464,0.080036,266.687988,0.018419,265.089057
M2:,-124.739,48.4464,0.373642,295.849469,0.079465,296.471085
S2:,-124.739,48.4464,0.09466,321.863198,0.016568,315.216325
O1:,-124.742,48.4504,0.145326,176.619474,0.045954,190.967116
P1:,-124.742,48.4504,0.087823,198.65907,0.024488,224.938013
Q1:,-124.742,48.4504,0.022974,170.590709,0.006949,175.445869
K1:,-124.742,48.4504,0.278914,202.190881,0.07357,227.998113
K2:,-124.742,48.4504,0.025875,300.940699,0.008364,217.142356
N2:,-124.742,48.4504,0.076813,266.938255,0.017345,267.880507
M2:,-124.742,48.4504,0.359465,296.123985,0.075066,298.912672
S2:,-124.742,48.4504,0.090941,322.440383,0.015946,318.321845
O1:,-124.746,48.4543,0.140219,177.940898,0.046577,193.973797
P1:,-124.746,48.4543,0.084669,199.644576,0.024939,227.058642
Q1:,-124.746,48.4543,0.022331,172.168818,0.00704,179.064647
K1:,-124.746,48.4543,0.269238,203.095188,0.075219,230.174304
K2:,-124.746,48.4543,0.024225,303.575301,0.007257,226.001392
N2:,-124.746,48.4543,0.073931,267.474952,0.016947,270.292535
M2:,-124.746,48.4543,0.346504,296.690525,0.073761,301.090134
S2:,-124.746,48.4543,0.087622,323.239991,0.015995,321.103576
O1:,-124.749,48.4583,0.137311,179.350045,0.045323,196.007539
P1:,-124.749,48.4583,0.082826,200.685135,0.024425,228.731788
Q1:,-124.749,48.4583,0.022029,173.770706,0.006829,181.827563
K1:,-124.749,48.4583,0.263609,204.066321,0.073732,231.859305
K2:,-124.749,48.4583,0.023125,306.447848,0.006792,233.938812
N2:,-124.749,48.4583,0.072111,268.304224,0.016701,271.302883
M2:,-124.749,48.4583,0.338214,297.565835,0.073021,301.977313
S2:,-124.749,48.4583,0.085541,324.312298,0.016102,322.042817
O1:,-124.752,48.4623,0.13449,180.819232,0.04413,198.154091
P1:,-124.752,48.4623,0.081011,201.772686,0.023931,230.475421
Q1:,-124.752,48.4623,0.021745,175.415733,0.006634,184.759527
K1:,-124.752,48.4623,0.258058,205.07953,0.072311,233.612098
K2:,-124.752,48.4623,0.022089,309.598433,0.006473,242.845237
N2:,-124.752,48.4623,0.070308,269.176226,0.016461,272.343027
M2:,-124.752,48.4623,0.330006,298.484909,0.072299,302.882439
S2:,-124.752,48.4623,0.083493,325.437639,0.016213,322.96944
O1:,-124.756,48.4663,0.130299,181.934555,0.044164,200.744083
P1:,-124.756,48.4663,0.07845,202.556213,0.024109,232.380343
Q1:,-124.756,48.4663,0.021215,176.749499,0.006635,188.056366
K1:,-124.756,48.4663,0.250193,205.800638,0.07306,235.599117
K2:,-124.756,48.4663,0.020913,311.960238,0.005947,252.694856
N2:,-124.756,48.4663,0.067638,269.88361,0.016311,274.78683
M2:,-124.756,48.4663,0.317817,299.238676,0.072229,305.160909
S2:,-124.756,48.4663,0.080393,326.353648,0.016433,325.835739
O1:,-124.759,48.4703,0.127618,182.150656,0.042402,202.986395
P1:,-124.759,48.4703,0.07682,202.640219,0.023392,234.334463
Q1:,-124.759,48.4703,0.020831,176.983224,0.006319,191.179675
K1:,-124.759,48.4703,0.244911,205.876075,0.07111,237.864986
K2:,-124.759,48.4703,0.020423,312.825921,0.005693,253.832731
N2:,-124.759,48.4703,0.066033,270.031439,0.015339,276.03565
M2:,-124.759,48.4703,0.3106,299.455216,0.068103,306.267948
S2:,-124.759,48.4703,0.078603,326.629558,0.015442,326.738108
O1:,-124.762,48.4743,0.125104,182.432773,0.040121,205.505411
P1:,-124.762,48.4743,0.075254,202.795524,0.022415,236.378244
Q1:,-124.762,48.4743,0.020478,177.238117,0.00593,194.999894
K1:,-124.762,48.4743,0.239804,206.013558,0.068398,240.20851
K2:,-124.762,48.4743,0.01987,313.54609,0.005426,255.818144
N2:,-124.762,48.4743,0.064455,270.174961,0.014261,277.459391
M2:,-124.762,48.4743,0.303576,299.701324,0.063648,307.374985
S2:,-124.762,48.4743,0.076801,326.949645,0.014428,327.72529
O1:,-124.766,48.4782,0.122052,182.766563,0.038057,208.635041
P1:,-124.766,48.4782,0.073414,202.973259,0.021543,238.660848
Q1:,-124.766,48.4782,0.020043,177.572607,0.005594,199.839105
K1:,-124.766,48.4782,0.233818,206.177725,0.066098,242.794307
K2:,-124.766,48.4782,0.019236,314.249261,0.005164,260.003804
N2:,-124.766,48.4782,0.062612,270.307553,0.013287,279.299841
M2:,-124.766,48.4782,0.295357,299.958998,0.059787,308.709071
S2:,-124.766,48.4782,0.074684,327.285748,0.013614,329.088591
O1:,-124.769,48.4822,0.11974,183.061716,0.035925,211.784553
P1:,-124.769,48.4822,0.071949,203.135714,0.020594,241.108684
Q1:,-124.769,48.4822,0.019724,177.821252,0.005271,204.694238
K1:,-124.769,48.4822,0.229056,206.320755,0.063502,245.511834
K2:,-124.769,48.4822,0.018701,315.025961,0.004926,262.029735
N2:,-124.769,48.4822,0.061125,270.457783,0.012212,281.076452
M2:,-124.769,48.4822,0.288715,300.208516,0.055234,310.079042
S2:,-124.769,48.4822,0.072984,327.623056,0.012572,330.225613
O1:,-124.772,48.4862,0.118613,183.206219,0.034195,214.963245
P1:,-124.772,48.4862,0.071113,203.163511,0.019734,243.907029
Q1:,-124.772,48.4862,0.019605,177.880734,0.005052,208.965337
K1:,-124.772,48.4862,0.226516,206.335192,0.060963,248.352357
K2:,-124.772,48.4862,0.018334,315.852885,0.004745,259.959685
N2:,-124.772,48.4862,0.060245,270.561424,0.011127,281.827134
M2:,-124.772,48.4862,0.284531,300.283963,0.050032,311.102543
S2:,-124.772,48.4862,0.071991,327.817345,0.011302,330.222703
O1:,-124.776,48.4902,0.116216,183.305205,0.033755,218.040259
P1:,-124.776,48.4902,0.069772,202.965474,0.019389,246.320378
Q1:,-124.776,48.4902,0.019319,178.211764,0.005084,212.345391
K1:,-124.776,48.4902,0.222493,206.12403,0.059957,250.688651
K2:,-124.776,48.4902,0.018103,317.25746,0.004636,264.315975
N2:,-124.776,48.4902,0.059133,270.565753,0.010457,282.893726
M2:,-124.776,48.4902,0.279524,300.263486,0.046885,312.087748
S2:,-124.776,48.4902,0.070825,327.937581,0.010666,330.784354
O1:,-124.779,48.4942,0.114233,183.388574,0.033189,220.91588
P1:,-124.779,48.4942,0.068642,202.768415,0.018984,248.723382
Q1:,-124.779,48.4942,0.019095,178.504272,0.005088,215.370293
K1:,-124.779,48.4942,0.219121,205.907295,0.058732,253.040321
K2:,-124.779,48.4942,0.017944,318.695187,0.004535,267.473078
N2:,-124.779,48.4942,0.058224,270.588611,0.009715,284.075608
M2:,-124.779,48.4942,0.275483,300.262863,0.043383,313.204634
S2:,-124.779,48.4942,0.069899,328.075758,0.009903,331.338632
O1:,-124.782,48.4982,0.11225,183.474889,0.03271,223.883458
P1:,-124.782,48.4982,0.067513,202.564764,0.018613,251.226663
Q1:,-124.782,48.4982,0.018872,178.803713,0.005107,218.381391
K1:,-124.782,48.4982,0.215752,205.683788,0.05761,255.487854
K2:,-124.782,48.4982,0.017796,320.157716,0.004448,270.764157
N2:,-124.782,48.4982,0.057315,270.612195,0.008978,285.452181
M2:,-124.782,48.4982,0.271443,300.262221,0.039901,314.517017
S2:,-124.782,48.4982,0.068973,328.217645,0.009143,331.985246
O1:,-124.786,48.5021,0.109873,183.584767,0.032588,227.109492
P1:,-124.786,48.5021,0.066186,202.34842,0.018394,253.835218
Q1:,-124.786,48.5021,0.018589,179.158009,0.005189,221.553785
K1:,-124.786,48.5021,0.211775,205.455135,0.056972,258.000061
K2:,-124.786,48.5021,0.017599,321.619585,0.004414,275.577974
N2:,-124.786,48.5021,0.05621,270.615728,0.008347,287.03934
M2:,-124.786,48.5021,0.266464,300.238756,0.036928,316.018547
S2:,-124.786,48.5021,0.067814,328.345407,0.008539,332.805337
O1:,-124.789,48.5061,0.10793,183.509713,0.03225,231.172951
P1:,-124.789,48.5061,0.065026,201.999192,0.018107,257.446944
Q1:,-124.789,48.5061,0.018369,179.300459,0.00525,225.508469
K1:,-124.789,48.5061,0.208306,205.076366,0.056081,261.561991
K2:,-124.789,48.5061,0.017438,323.181291,0.004306,280.149246
N2:,-124.789,48.5061,0.055265,270.647109,0.00756,289.64138
M2:,-124.789,48.5061,0.262224,300.239565,0.033203,318.638559
S2:,-124.789,48.5061,0.06682,328.493884,0.007695,334.667693
O1:,-124.793,48.5101,0.105601,182.289669,0.031047,236.682513
P1:,-124.793,48.5101,0.063813,200.489655,0.017261,262.818967
Q1:,-124.793,48.5101,0.018038,178.091275,0.005135,231.070271
K1:,-124.793,48.5101,0.20463,203.547489,0.053464,267.069724
K2:,-124.793,48.5101,0.017932,324.805463,0.004505,281.628605
N2:,-124.793,48.5101,0.054878,270.266148,0.006328,290.780112
M2:,-124.793,48.5101,0.260825,299.801042,0.027283,319.283971
S2:,-124.793,48.5101,0.066721,328.213295,0.006391,332.25362
O1:,-124.796,48.5141,0.103493,181.703903,0.030351,240.913779
P1:,-124.796,48.5141,0.062802,199.504072,0.016675,267.181648
Q1:,-124.796,48.5141,0.017759,177.543804,0.005077,235.343892
K1:,-124.796,48.5141,0.201562,202.572632,0.051717,271.409751
K2:,-124.796,48.5141,0.01834,326.416441,0.004607,284.28526
N2:,-124.796,48.5141,0.054368,270.161897,0.005459,293.34782
M2:,-124.796,48.5141,0.258979,299.638552,0.02306,321.138639
S2:,-124.796,48.5141,0.066485,328.199728,0.005472,331.363376
O1:,-124.799,48.5181,0.101397,181.093851,0.029827,245.318462
P1:,-124.799,48.5181,0.061811,198.486559,0.016192,271.833007
Q1:,-124.799,48.5181,0.017482,176.978932,0.005047,239.691643
K1:,-124.799,48.5181,0.198554,201.567937,0.050287,276.024519
K2:,-124.799,48.5181,0.018763,327.956044,0.00472,286.820884
N2:,-124.799,48.5181,0.053859,270.055674,0.004605,296.877241
M2:,-124.799,48.5181,0.257135,299.473732,0.018871,323.820627
S2:,-124.799,48.5181,0.066249,328.186065,0.004555,330.114425
O1:,-124.803,48.522,0.099007,180.173067,0.029687,250.672518
P1:,-124.803,48.522,0.060664,197.173085,0.015911,277.435295
Q1:,-124.803,48.522,0.017152,176.11965,0.005096,244.808613
K1:,-124.803,48.522,0.195069,200.266818,0.049472,281.599653
K2:,-124.803,48.522,0.019192,329.41098,0.004904,289.899153
N2:,-124.803,48.522,0.053256,269.84198,0.003723,301.944955
M2:,-124.803,48.522,0.254808,299.19739,0.014502,327.943267
S2:,-124.803,48.522,0.065898,328.070879,0.003619,327.660188
O1:,-124.806,48.526,0.097588,178.708074,0.027637,255.667563
P1:,-124.806,48.526,0.060225,195.381174,0.014601,283.697698
Q1:,-124.806,48.526,0.016994,174.673219,0.004737,249.030322
K1:,-124.806,48.526,0.193832,198.46452,0.045377,288.170302
K2:,-124.806,48.526,0.019928,328.648477,0.004636,285.966692
N2:,-124.806,48.526,0.053486,268.794364,0.001921,313.303305
M2:,-124.806,48.526,0.256346,298.126989,0.005919,338.165189
S2:,-124.806,48.526,0.066606,327.103015,0.001844,301.42549
O1:,-124.809,48.53,0.097201,176.12644,0.023224,262.788426
P1:,-124.809,48.53,0.060588,192.636872,0.012107,294.077951
Q1:,-124.809,48.53,0.01702,172.071956,0.003867,254.454945
K1:,-124.809,48.53,0.195177,195.675572,0.037668,299.633958
K2:,-124.809,48.53,0.021121,325.182224,0.004016,270.345573
N2:,-124.809,48.53,0.054792,266.536569,0.001545,94.394746
M2:,-124.809,48.53,0.262812,295.898037,0.009325,137.727513
S2:,-124.809,48.53,0.068685,324.920505,0.003087,202.816511
O1:,-124.813,48.534,0.096467,173.212174,0.020253,273.926217
P1:,-124.813,48.534,0.060743,189.628041,0.010685,309.278696
Q1:,-124.813,48.534,0.016977,169.163739,0.003234,264.053997
K1:,-124.813,48.534,0.195917,192.638067,0.033662,315.929604
K2:,-124.813,48.534,0.022277,322.463026,0.003761,255.213725
N2:,-124.813,48.534,0.055866,264.465902,0.004591,107.660157
M2:,-124.813,48.534,0.26814,293.851904,0.023546,141.465598
S2:,-124.813,48.534,0.070459,322.960361,0.006435,186.754834
O1:,-124.816,48.538,0.094495,171.005448,0.021313,283.405208
P1:,-124.816,48.538,0.05994,187.247113,0.011595,319.832686
Q1:,-124.816,48.538,0.016681,166.917985,0.003394,273.863714
K1:,-124.816,48.538,0.193618,190.299284,0.036762,326.107665
K2:,-124.816,48.538,0.022733,322.578094,0.003532,257.239458
N2:,-124.816,48.538,0.05557,263.876374,0.006038,103.731003
M2:,-124.816,48.538,0.26706,293.265802,0.029995,137.350319
S2:,-124.816,48.538,0.070421,322.506202,0.007695,179.998985
O1:,-124.819,48.5419,0.091385,167.833382,0.02512,291.863512
P1:,-124.819,48.5419,0.058421,183.987699,0.014102,326.857489
Q1:,-124.819,48.5419,0.016145,163.85339,0.004065,282.873621
K1:,-124.819,48.5419,0.189178,187.096796,0.044753,332.578659
K2:,-124.819,48.5419,0.022842,323.370566,0.003325,267.576916
N2:,-124.819,48.5419,0.054783,263.347679,0.007307,98.476357
M2:,-124.819,48.5419,0.263441,292.712874,0.035682,131.922722
S2:,-124.819,48.5419,0.069676,322.121202,0.00866,173.023786
O1:,-124.823,48.5459,0.08754,163.482938,0.031364,297.929706
P1:,-124.823,48.5459,0.05646,179.655038,0.017844,330.768215
Q1:,-124.823,48.5459,0.015448,159.687251,0.005197,289.120402
K1:,-124.823,48.5459,0.183428,182.86493,0.056495,335.989732
K2:,-124.823,48.5459,0.02272,324.803079,0.003415,286.297035
N2:,-124.823,48.5459,0.053481,262.852524,0.008519,92.661086
M2:,-124.823,48.5459,0.257258,292.172135,0.041114,125.982182
S2:,-124.823,48.5459,0.068244,321.796937,0.009442,165.676141
O1:,-124.826,48.5499,0.084862,159.708744,0.035943,301.940097
P1:,-124.826,48.5499,0.055293,176.015961,0.020602,333.889811
Q1:,-124.826,48.5499,0.014939,156.12103,0.006004,293.005316
K1:,-124.826,48.5499,0.180003,179.338826,0.065175,338.827655
K2:,-124.826,48.5499,0.022661,325.127379,0.003477,297.306636
N2:,-124.826,48.5499,0.052656,262.129897,0.00989,89.761394
M2:,-124.826,48.5499,0.253374,291.424391,0.04736,122.802797
S2:,-124.826,48.5499,0.067369,321.192915,0.010634,160.780652
O1:,-124.829,48.5539,0.083204,157.000799,0.038168,304.933402
P1:,-124.829,48.5539,0.054879,173.638853,0.021932,337.135939
Q1:,-124.829,48.5539,0.014573,153.622903,0.006358,295.524712
K1:,-124.829,48.5539,0.178632,177.072407,0.069395,341.815258
K2:,-124.829,48.5539,0.022596,323.625936,0.00319,301.924127
N2:,-124.829,48.5539,0.052329,261.043916,0.01133,89.0818
M2:,-124.829,48.5539,0.251891,290.351814,0.053912,121.85582
S2:,-124.829,48.5539,0.067042,320.128495,0.01212,158.310413
O1:,-124.833,48.5579,0.081578,153.962902,0.040899,307.377518
P1:,-124.833,48.5579,0.05447,171.052732,0.023475,339.823905
Q1:,-124.833,48.5579,0.0142,150.756175,0.006808,297.443392
K1:,-124.833,48.5579,0.177224,174.612259,0.074205,344.237939
K2:,-124.833,48.5579,0.022486,322.149664,0.003036,309.171792
N2:,-124.833,48.5579,0.051835,259.933169,0.012711,88.236509
M2:,-124.833,48.5579,0.249606,289.256008,0.060131,120.845356
S2:,-124.833,48.5579,0.066498,319.044871,0.013493,156.096773
O1:,-124.836,48.5618,0.080351,151.103306,0.043257,309.659615
P1:,-124.836,48.5618,0.054255,168.662723,0.024891,342.283789
Q1:,-124.836,48.5618,0.013902,148.052286,0.007178,299.379441
K1:,-124.836,48.5618,0.176439,172.33095,0.078635,346.504987
K2:,-124.836,48.5618,0.022448,320.671174,0.002829,315.492152
N2:,-124.836,48.5618,0.051539,258.844033,0.014113,87.834725
M2:,-124.836,48.5618,0.248269,288.181918,0.066516,120.266864
S2:,-124.836,48.5618,0.066207,317.983304,0.014963,154.582975
O1:,-124.839,48.5658,0.079634,147.158792,0.046723,313.172812
P1:,-124.839,48.5658,0.054236,165.40957,0.02706,345.48188
Q1:,-124.839,48.5658,0.013681,144.137282,0.00772,302.930987
K1:,-124.839,48.5658,0.176276,169.19881,0.085419,349.505753
K2:,-124.839,48.5658,0.022156,319.702561,0.002812,327.536345
N2:,-124.839,48.5658,0.051475,257.685127,0.015809,88.289852
M2:,-124.839,48.5658,0.247953,287.045353,0.074292,120.458885
S2:,-124.839,48.5658,0.066077,316.934038,0.016712,153.708833
O1:,-124.843,48.5698,0.081159,144.021164,0.049336,318.277818
P1:,-124.843,48.5698,0.055213,163.120025,0.02892,350.140572
Q1:,-124.843,48.5698,0.013912,140.759769,0.008075,308.784081
K1:,-124.843,48.5698,0.179301,166.907284,0.091425,354.140071
K2:,-124.843,48.5698,0.021578,318.074694,0.002592,336.661781
N2:,-124.843,48.5698,0.051744,256.606199,0.017442,89.819051
M2:,-124.843,48.5698,0.248951,286.06934,0.081681,121.718536
S2:,-124.843,48.5698,0.066123,315.935361,0.018519,154.181807
O1:,-124.846,48.5738,0.082873,141.408307,0.052068,321.985946
P1:,-124.846,48.5738,0.056056,161.196596,0.030713,353.168408
Q1:,-124.846,48.5738,0.014211,137.803713,0.008502,313.247236
K1:,-124.846,48.5738,0.181942,164.94695,0.09726,357.151611
K2:,-124.846,48.5738,0.020768,316.50253,0.002454,348.832903
N2:,-124.846,48.5738,0.051702,255.68425,0.018866,90.280167
M2:,-124.846,48.5738,0.248347,285.229875,0.088134,121.908322
S2:,-124.846,48.5738,0.06571,315.058764,0.020107,153.640748
O1:,-124.849,48.5777,0.084637,138.779172,0.055276,324.849837
P1:,-124.849,48.5777,0.056813,159.188583,0.032661,355.323669
Q1:,-124.849,48.5777,0.014531,134.798605,0.009041,316.721635
K1:,-124.849,48.5777,0.18432,162.905398,0.103553,359.272034
K2:,-124.849,48.5777,0.019829,315.054848,0.002585,2.023197
N2:,-124.849,48.5777,0.051477,254.813272,0.020194,90.331191
M2:,-124.849,48.5777,0.246825,284.427488,0.094139,121.713782
S2:,-124.849,48.5777,0.065034,314.230519,0.02155,152.752693
O1:,-124.853,48.5817,0.086906,135.913049,0.059161,327.77146
P1:,-124.853,48.5817,0.057791,156.973287,0.034962,357.586009
Q1:,-124.853,48.5817,0.014948,131.535434,0.009704,320.217428
K1:,-124.853,48.5817,0.187393,160.658179,0.110936,1.492641
K2:,-124.853,48.5817,0.018792,313.44243,0.002945,13.006199
N2:,-124.853,48.5817,0.051272,253.874797,0.021601,90.590522
M2:,-124.853,48.5817,0.245343,283.56976,0.100454,121.758946
S2:,-124.853,48.5817,0.064324,313.342851,0.023041,152.135709
O1:,-124.856,48.5857,0.089031,133.661004,0.062445,330.014353
P1:,-124.856,48.5857,0.058684,155.189767,0.036929,359.263714
Q1:,-124.856,48.5857,0.015345,128.957379,0.010272,322.897313
K1:,-124.856,48.5857,0.190225,158.840651,0.117278,3.139666
K2:,-124.856,48.5857,0.017876,311.624491,0.003247,22.560095
N2:,-124.856,48.5857,0.051099,253.055646,0.022885,90.731696
M2:,-124.856,48.5857,0.244035,282.814275,0.106264,121.701467
S2:,-124.856,48.5857,0.063692,312.534039,0.02446,151.539158
O1:,-124.859,48.5897,0.090947,133.522781,0.063221,331.954197
P1:,-124.859,48.5897,0.059389,155.054404,0.037801,0.729864
Q1:,-124.859,48.5897,0.015659,128.514988,0.010417,324.999971
K1:,-124.859,48.5897,0.192412,158.695264,0.120061,4.616115
K2:,-124.859,48.5897,0.017085,309.568328,0.003189,35.228385
N2:,-124.859,48.5897,0.051331,253.276191,0.023272,92.420018
