Tidal Current Constituents,,,,,,
Columns,,,,,,
Constituent,Longitude,Latitude,U Amplitude (m),U Phase (deg GMT),V Amplitude (m),V Phase (deg GMT)
K2:,-124.77991,48.49913,0.017933,320.477818,0.004364,267.588991
N2:,-124.77991,48.49913,0.05767,270.669,0.008597,285.751097
M2:,-124.77991,48.49913,0.273198,300.319779,0.038064,314.869184
S2:,-124.77991,48.49913,0.069424,328.288428,0.008611,331.929654
O1:,-124.78324,48.503113,0.110825,183.533703,0.031655,227.052078
P1:,-124.78324,48.503113,0.066644,202.330656,0.017966,254.26766
Q1:,-124.78324,48.503113,0.018748,179.055678,0.005034,221.431685
K1:,-124.78324,48.503113,0.213203,205.408818,0.055583,258.543399
K2:,-124.78324,48.503113,0.017779,321.953038,0.004287,271.495271
N2:,-124.78324,48.503113,0.056695,270.687682,0.007897,287.472604
M2:,-124.78324,48.503113,0.268843,300.312845,0.034756,316.533565
S2:,-124.78324,48.503113,0.068421,328.429116,0.007899,332.762564
O1:,-124.78658,48.50709,0.108593,183.626737,0.031512,230.414732
P1:,-124.78658,48.50709,0.065391,202.101313,0.017745,257.09928
Q1:,-124.78658,48.50709,0.018486,179.374711,0.005106,224.638685
K1:,-124.78658,48.50709,0.209449,205.166565,0.054939,261.285278
K2:,-124.78658,48.50709,0.017607,323.385245,0.004209,275.847165
N2:,-124.78658,48.50709,0.055679,270.695828,0.007207,289.70884
M2:,-124.78658,48.50709,0.264268,300.29353,0.0315,318.766014
S2:,-124.78658,48.50709,0.067359,328.559463,0.007191,334.026325
O1:,-124.789925,48.511074,0.106424,183.121002,0.03061,234.290463
P1:,-124.789925,48.511074,0.064336,201.187981,0.017038,260.985418
Q1:,-124.789925,48.511074,0.0182,178.911592,0.005014,228.691779
K1:,-124.789925,48.511074,0.206247,204.260699,0.05281,265.152033
K2:,-124.789925,48.511074,0.018013,325.124603,0.004328,279.027341
N2:,-124.789925,48.511074,0.055133,270.608853,0.006377,291.528188
M2:,-124.789925,48.511074,0.262279,300.148273,0.027476,319.935517
S2:,-124.789925,48.511074,0.067094,328.563609,0.006338,333.248269
O1:,-124.79327,48.515057,0.104185,182.466301,0.029854,238.839504
P1:,-124.79327,48.515057,0.063245,200.136348,0.016424,265.604793
Q1:,-124.79327,48.515057,0.017899,178.293655,0.004952,233.348614
K1:,-124.79327,48.515057,0.202929,203.217907,0.050971,269.75235
K2:,-124.79327,48.515057,0.018425,326.721783,0.00444,282.139532
N2:,-124.79327,48.515057,0.05459,270.473963,0.005491,294.168608
M2:,-124.79327,48.515057,0.260258,299.953367,0.023165,321.865273
S2:,-124.79327,48.515057,0.066818,328.518236,0.005406,332.392213
O1:,-124.79661,48.519035,0.101963,181.784021,0.029296,243.586218
P1:,-124.79661,48.519035,0.062177,199.049762,0.015925,270.540814
Q1:,-124.79661,48.519035,0.0176,177.655641,0.004923,238.085008
K1:,-124.79661,48.519035,0.199684,202.142396,0.049484,274.655762
K2:,-124.79661,48.519035,0.018849,328.246211,0.004565,285.08567
N2:,-124.79661,48.519035,0.054047,270.336613,0.004622,297.808429
M2:,-124.79661,48.519035,0.258242,299.755745,0.018898,324.668105
S2:,-124.79661,48.519035,0.066543,328.472619,0.004476,331.181984
O1:,-124.79995,48.523014,0.099755,181.071492,0.028946,248.482634
P1:,-124.79995,48.523014,0.061132,197.92556,0.015551,275.755121
Q1:,-124.79995,48.523014,0.017303,176.995718,0.004928,242.84471
K1:,-124.79995,48.523014,0.196512,201.031705,0.04838,279.822972
K2:,-124.79995,48.523014,0.019286,329.702874,0.004701,287.868436
N2:,-124.79995,48.523014,0.053505,270.196526,0.00378,303.101152
M2:,-124.79995,48.523014,0.25623,299.555054,0.014701,329.088299
S2:,-124.79995,48.523014,0.066268,328.42669,0.00355,329.338913
O1:,-124.80329,48.526997,0.098292,179.406739,0.026565,253.812608
P1:,-124.80329,48.526997,0.060689,195.949749,0.014054,282.490285
Q1:,-124.80329,48.526997,0.017138,175.343176,0.00451,247.313029
K1:,-124.80329,48.526997,0.195268,199.039192,0.043675,286.935597
K2:,-124.80329,48.526997,0.020069,328.59413,0.004408,282.764013
N2:,-124.80329,48.526997,0.053814,268.969694,0.001812,316.343283
M2:,-124.80329,48.526997,0.258115,298.310236,0.005349,341.915754
S2:,-124.80329,48.526997,0.067082,327.277303,0.00163,297.099393
O1:,-124.80663,48.530975,0.097776,176.720199,0.022086,261.295316
P1:,-124.80663,48.530975,0.060986,193.107656,0.011529,293.484977
Q1:,-124.80663,48.530975,0.017141,172.639455,0.003636,253.000144
K1:,-124.80663,48.530975,0.196408,196.149982,0.035859,299.090968
K2:,-124.80663,48.530975,0.021272,325.091296,0.003876,265.988016
N2:,-124.80663,48.530975,0.055108,266.657822,0.001738,95.067509
M2:,-124.80663,48.530975,0.264503,296.028036,0.010224,137.334706
S2:,-124.80663,48.530975,0.069148,325.043061,0.0033,199.093177
O1:,-124.80997,48.534954,0.097478,174.010865,0.018163,272.276982
P1:,-124.80997,48.534954,0.061432,190.299528,0.009641,309.629224
Q1:,-124.80997,48.534954,0.017183,169.942394,0.002819,262.125732
K1:,-124.80997,48.534954,0.198042,193.300862,0.030443,316.676609
K2:,-124.80997,48.534954,0.022547,321.973262,0.003753,246.164696
N2:,-124.80997,48.534954,0.056487,264.454993,0.004984,108.94462
M2:,-124.80997,48.534954,0.271292,293.856368,0.025414,142.358457
S2:,-124.80997,48.534954,0.071313,322.941062,0.007016,185.790436
O1:,-124.81331,48.538937,0.095583,171.570559,0.018812,284.014606
P1:,-124.81331,48.538937,0.060719,187.71789,0.010449,322.621956
Q1:,-124.81331,48.538937,0.016903,167.491902,0.002885,274.408064
K1:,-124.81331,48.538937,0.196049,190.746421,0.033357,329.350929
K2:,-124.81331,48.538937,0.023115,321.645052,0.003553,244.813917
N2:,-124.81331,48.538937,0.056413,263.584419,0.006731,106.111197
M2:,-124.81331,48.538937,0.271223,292.991488,0.033298,139.117021
S2:,-124.81331,48.538937,0.071563,322.204905,0.008694,179.9079
O1:,-124.81665,48.542915,0.09153,167.791339,0.024215,293.52143
P1:,-124.81665,48.542915,0.05862,183.883415,0.01389,328.792174
Q1:,-124.81665,48.542915,0.016178,163.899538,0.003858,284.899136
K1:,-124.81665,48.542915,0.189868,186.973716,0.04425,334.661017
K2:,-124.81665,48.542915,0.023016,322.883784,0.003186,260.062393
N2:,-124.81665,48.542915,0.055272,263.086334,0.007888,99.170328
M2:,-124.81665,48.542915,0.265809,292.452518,0.038502,132.185416
S2:,-124.81665,48.542915,0.070332,321.85886,0.009447,172.270294
O1:,-124.81999,48.546894,0.087911,163.680989,0.030039,299.45989
P1:,-124.81999,48.546894,0.056802,179.783258,0.017428,332.488245
Q1:,-124.81999,48.546894,0.015522,159.986355,0.004909,291.043837
K1:,-124.81999,48.546894,0.184562,182.965062,0.055374,337.857884
K2:,-124.81999,48.546894,0.022928,324.132688,0.003088,277.676827
N2:,-124.81999,48.546894,0.054135,262.567123,0.00913,94.058167
M2:,-124.81999,48.546894,0.260419,291.891012,0.044135,126.960384
S2:,-124.81999,48.546894,0.069103,321.500364,0.010343,165.85463
O1:,-124.82333,48.550873,0.085089,159.763784,0.035032,303.348469
P1:,-124.82333,48.550873,0.055539,176.006459,0.020389,335.282059
Q1:,-124.82333,48.550873,0.014986,156.275159,0.005796,294.759787
K1:,-124.82333,48.550873,0.18086,179.305968,0.064675,340.321372
K2:,-124.82333,48.550873,0.022847,324.629566,0.003119,291.541394
N2:,-124.82333,48.550873,0.053207,261.882205,0.010454,90.876989
M2:,-124.82333,48.550873,0.256039,291.178328,0.050154,123.611292
S2:,-124.82333,48.550873,0.068103,320.942768,0.011452,161.115975
O1:,-124.826675,48.55485,0.083371,157.001935,0.037441,306.23286
P1:,-124.826675,48.55485,0.055092,173.591689,0.021796,338.388561
Q1:,-124.826675,48.55485,0.014606,153.719743,0.006187,297.117455
K1:,-124.826675,48.55485,0.179376,177.006643,0.069112,343.13936
K2:,-124.826675,48.55485,0.022765,323.160499,0.00284,296.943864
N2:,-124.826675,48.55485,0.052818,260.809304,0.011861,89.977568
M2:,-124.826675,48.55485,0.254261,290.11895,0.056528,122.522348
S2:,-124.826675,48.55485,0.067695,319.892629,0.012878,158.675617
O1:,-124.83002,48.558826,0.081856,154.131437,0.039933,308.762165
P1:,-124.83002,48.558826,0.054744,171.142308,0.023258,341.110816
Q1:,-124.83002,48.558826,0.014257,151.033973,0.006588,299.191016
K1:,-124.83002,48.558826,0.178185,174.673234,0.073696,345.611349
K2:,-124.83002,48.558826,0.022699,321.682262,0.002591,303.451896
N2:,-124.83002,48.558826,0.052448,259.721145,0.013269,89.268909
M2:,-124.83002,48.558826,0.252571,289.045286,0.062917,121.654338
S2:,-124.83002,48.558826,0.067311,318.830406,0.014321,156.724739
O1:,-124.83336,48.562805,0.080553,151.159895,0.042493,310.993912
P1:,-124.83336,48.562805,0.054498,168.665688,0.024766,343.509486
Q1:,-124.83336,48.562805,0.01394,148.219563,0.006995,301.028987
K1:,-124.83336,48.562805,0.177295,172.311866,0.078402,347.793529
K2:,-124.83336,48.562805,0.022648,320.195018,0.002382,311.206379
N2:,-124.83336,48.562805,0.052099,258.617211,0.014681,88.698016
M2:,-124.83336,48.562805,0.250976,287.956832,0.069325,120.947768
S2:,-124.83336,48.562805,0.066952,317.755653,0.015781,155.133516
O1:,-124.8367,48.566784,0.079539,147.89703,0.045329,313.272323
P1:,-124.8367,48.566784,0.054375,166.000845,0.02646,345.82852
Q1:,-124.8367,48.566784,0.013669,145.058308,0.007444,303.041181
K1:,-124.8367,48.566784,0.176777,169.763032,0.083672,349.918835
K2:,-124.8367,48.566784,0.022554,318.817057,0.002255,321.54777
N2:,-124.8367,48.566784,0.051813,257.492447,0.016148,88.386173
M2:,-124.8367,48.566784,0.249664,286.849786,0.075999,120.497224
S2:,-124.8367,48.566784,0.066644,316.679844,0.017298,153.888997
O1:,-124.84004,48.570763,0.08077,144.8307,0.048055,317.688735
P1:,-124.84004,48.570763,0.055094,163.722157,0.028303,349.601573
Q1:,-124.84004,48.570763,0.013854,141.704075,0.007847,308.185993
K1:,-124.84004,48.570763,0.178997,167.480451,0.08962,353.645838
K2:,-124.84004,48.570763,0.021851,317.406183,0.002055,334.669485
N2:,-124.84004,48.570763,0.051839,256.504825,0.017659,89.208282
M2:,-124.84004,48.570763,0.24947,285.943722,0.082856,121.033661
S2:,-124.84004,48.570763,0.066369,315.764869,0.018956,153.579533
O1:,-124.84338,48.574738,0.082411,141.91204,0.051256,321.233714
P1:,-124.84338,48.574738,0.055813,161.535782,0.030288,352.324285
Q1:,-124.84338,48.574738,0.014141,138.365908,0.008371,312.473153
K1:,-124.84338,48.574738,0.181235,165.263633,0.096035,356.327906
K2:,-124.84338,48.574738,0.020858,316.056333,0.002091,351.626567
N2:,-124.84338,48.574738,0.051602,255.611512,0.019025,89.414694
M2:,-124.84338,48.574738,0.247883,285.126475,0.089026,120.960499
S2:,-124.84338,48.574738,0.065659,314.930547,0.02043,152.690402
O1:,-124.846725,48.578716,0.084258,139.111358,0.054634,324.35478
P1:,-124.846725,48.578716,0.056611,159.405816,0.032336,354.709971
Q1:,-124.846725,48.578716,0.014474,135.167419,0.008938,316.240175
K1:,-124.846725,48.578716,0.183741,163.101851,0.102641,358.672285
K2:,-124.846725,48.578716,0.019877,314.571393,0.002297,6.762236
N2:,-124.846725,48.578716,0.051378,254.709391,0.020393,89.594184
M2:,-124.846725,48.578716,0.246346,284.298171,0.095202,120.897404
S2:,-124.846725,48.578716,0.064962,314.077453,0.021909,151.921026
O1:,-124.85007,48.58269,0.086298,136.438523,0.058153,327.103896
P1:,-124.85007,48.58269,0.057486,157.339143,0.034432,356.807513
Q1:,-124.85007,48.58269,0.01485,132.123572,0.009538,319.543975
K1:,-124.85007,48.58269,0.1865,161.002447,0.109393,0.729363
K2:,-124.85007,48.58269,0.018912,312.93532,0.002632,18.718968
N2:,-124.85007,48.58269,0.051166,253.800359,0.021759,89.751741
M2:,-124.85007,48.58269,0.244862,283.460401,0.101373,120.84285
S2:,-124.85007,48.58269,0.06428,313.206867,0.023389,151.250333
O1:,-124.85341,48.58667,0.088503,133.991715,0.061667,329.526074
