Tidal Elevation Constituents,,,,
Columns,,,,
Constituent,Longitude,Latitude,Amplitude (m),Phase (deg GMT)
Q1:,-124.72739,48.432426,0.049245,219.167406
K1:,-124.72739,48.432426,0.453205,244.991311
K2:,-124.72739,48.432426,0.06547,260.220334
N2:,-124.72739,48.432426,0.176264,218.331727
M2:,-124.72739,48.432426,0.831195,242.231851
S2:,-124.72739,48.432426,0.243576,269.469549
O1:,-124.73073,48.436413,0.277365,228.752091
P1:,-124.73073,48.436413,0.143597,240.914691
Q1:,-124.73073,48.436413,0.049027,219.239733
K1:,-124.73073,48.436413,0.451337,245.07707
K2:,-124.73073,48.436413,0.065273,260.223159
N2:,-124.73073,48.436413,0.176054,218.17752
M2:,-124.73073,48.436413,0.830472,242.077777
S2:,-124.73073,48.436413,0.243369,269.352817
O1:,-124.73406,48.440395,0.276267,228.827621
P1:,-124.73406,48.440395,0.143021,240.997519
Q1:,-124.73406,48.440395,0.048816,219.32081
K1:,-124.73406,48.440395,0.449519,245.173052
K2:,-124.73406,48.440395,0.065069,260.225911
N2:,-124.73406,48.440395,0.175822,218.033297
M2:,-124.73406,48.440395,0.829628,241.933146
S2:,-124.73406,48.440395,0.243128,269.243923
O1:,-124.737404,48.44438,0.275206,228.911931
P1:,-124.737404,48.44438,0.14246,241.08815
Q1:,-124.737404,48.44438,0.048613,219.409496
K1:,-124.737404,48.44438,0.447745,245.275852
K2:,-124.737404,48.44438,0.064867,260.224418
N2:,-124.737404,48.44438,0.175577,217.897363
M2:,-124.737404,48.44438,0.828711,241.796455
S2:,-124.737404,48.44438,0.242868,269.141129
O1:,-124.740746,48.448368,0.274121,228.985439
P1:,-124.740746,48.448368,0.141889,241.16034
Q1:,-124.740746,48.448368,0.048406,219.48932
K1:,-124.740746,48.448368,0.445944,245.360122
K2:,-124.740746,48.448368,0.064702,260.20593
N2:,-124.740746,48.448368,0.175387,217.751069
M2:,-124.740746,48.448368,0.828065,241.650541
S2:,-124.740746,48.448368,0.242686,269.028502
O1:,-124.74408,48.45235,0.273061,229.059536
P1:,-124.74408,48.45235,0.141328,241.233139
Q1:,-124.74408,48.45235,0.048204,219.568774
K1:,-124.74408,48.45235,0.444175,245.444657
K2:,-124.74408,48.45235,0.064539,260.185347
N2:,-124.74408,48.45235,0.1752,217.606941
M2:,-124.74408,48.45235,0.827429,241.506765
S2:,-124.74408,48.45235,0.242506,268.917335
O1:,-124.74742,48.456337,0.272169,229.13485
P1:,-124.74742,48.456337,0.140836,241.30719
Q1:,-124.74742,48.456337,0.048037,219.641646
K1:,-124.74742,48.456337,0.442617,245.527344
K2:,-124.74742,48.456337,0.064397,260.149263
N2:,-124.74742,48.456337,0.17503,217.47897
M2:,-124.74742,48.456337,0.826836,241.378388
S2:,-124.74742,48.456337,0.242339,268.816584
O1:,-124.75076,48.46032,0.271278,229.210542
P1:,-124.75076,48.46032,0.140345,241.381627
Q1:,-124.75076,48.46032,0.047869,219.714922
K1:,-124.75076,48.46032,0.441062,245.610476
K2:,-124.75076,48.46032,0.064254,260.113047
N2:,-124.75076,48.46032,0.174862,217.350819
M2:,-124.75076,48.46032,0.82625,241.249904
S2:,-124.75076,48.46032,0.242173,268.715754
O1:,-124.754105,48.464302,0.270382,229.286245
P1:,-124.754105,48.464302,0.139851,241.455713
Q1:,-124.754105,48.464302,0.047701,219.788475
K1:,-124.754105,48.464302,0.439501,245.693372
K2:,-124.754105,48.464302,0.064113,260.076467
N2:,-124.754105,48.464302,0.174696,217.221641
M2:,-124.754105,48.464302,0.82568,241.120509
S2:,-124.754105,48.464302,0.242011,268.614168
O1:,-124.75744,48.46829,0.269501,229.356646
P1:,-124.75744,48.46829,0.139361,241.518889
Q1:,-124.75744,48.46829,0.047538,219.856754
K1:,-124.75744,48.46829,0.437956,245.765137
K2:,-124.75744,48.46829,0.064008,260.029982
N2:,-124.75744,48.46829,0.174575,217.089992
M2:,-124.75744,48.46829,0.825329,240.988938
S2:,-124.75744,48.46829,0.241911,268.509144
O1:,-124.76078,48.47227,0.268692,229.428521
P1:,-124.76078,48.47227,0.1389,241.583542
Q1:,-124.76078,48.47227,0.047388,219.923125
K1:,-124.76078,48.47227,0.436498,245.837513
K2:,-124.76078,48.47227,0.063914,259.975003
N2:,-124.76078,48.47227,0.17446,216.965479
M2:,-124.76078,48.47227,0.824988,240.864012
S2:,-124.76078,48.47227,0.241815,268.408291
O1:,-124.76412,48.476254,0.267876,229.502763
P1:,-124.76412,48.476254,0.138433,241.650973
Q1:,-124.76412,48.476254,0.047238,219.991463
K1:,-124.76412,48.476254,0.435026,245.912677
K2:,-124.76412,48.476254,0.063815,259.916606
N2:,-124.76412,48.476254,0.174335,216.840634
M2:,-124.76412,48.476254,0.824596,240.738464
S2:,-124.76412,48.476254,0.241705,268.30673
O1:,-124.76746,48.480236,0.26706,229.577403
P1:,-124.76746,48.480236,0.137967,241.718802
Q1:,-124.76746,48.480236,0.047088,220.060187
K1:,-124.76746,48.480236,0.433554,245.988291
K2:,-124.76746,48.480236,0.063717,259.858049
N2:,-124.76746,48.480236,0.174211,216.715646
M2:,-124.76746,48.480236,0.82421,240.612837
S2:,-124.76746,48.480236,0.241595,268.205108
O1:,-124.770805,48.48422,0.26632,229.652766
P1:,-124.770805,48.48422,0.137533,241.787171
Q1:,-124.770805,48.48422,0.046951,220.126588
K1:,-124.770805,48.48422,0.43218,246.06353
K2:,-124.770805,48.48422,0.063631,259.796925
N2:,-124.770805,48.48422,0.174092,216.598954
M2:,-124.770805,48.48422,0.823836,240.495421
S2:,-124.770805,48.48422,0.241491,268.109586
O1:,-124.77414,48.4882,0.265623,229.726244
P1:,-124.77414,48.4882,0.137116,241.851989
Q1:,-124.77414,48.4882,0.046823,220.190762
K1:,-124.77414,48.4882,0.43086,246.134398
K2:,-124.77414,48.4882,0.063571,259.732229
N2:,-124.77414,48.4882,0.174001,216.48511
M2:,-124.77414,48.4882,0.823588,240.381085
S2:,-124.77414,48.4882,0.241424,268.015619
O1:,-124.77748,48.492184,0.264923,229.798191
P1:,-124.77748,48.492184,0.136698,241.913947
Q1:,-124.77748,48.492184,0.046695,220.254503
K1:,-124.77748,48.492184,0.429534,246.202207
K2:,-124.77748,48.492184,0.063526,259.665577
N2:,-124.77748,48.492184,0.173928,216.369336
M2:,-124.77748,48.492184,0.823439,240.265098
S2:,-124.77748,48.492184,0.241386,267.919808
O1:,-124.78082,48.496166,0.264224,229.870465
P1:,-124.78082,48.496166,0.13628,241.976228
Q1:,-124.78082,48.496166,0.046568,220.318546
K1:,-124.78082,48.496166,0.42821,246.270378
K2:,-124.78082,48.496166,0.063482,259.598855
N2:,-124.78082,48.496166,0.173857,216.2535
M2:,-124.78082,48.496166,0.823294,240.149107
S2:,-124.78082,48.496166,0.241349,267.823998
O1:,-124.784164,48.50015,0.263525,229.943135
P1:,-124.784164,48.50015,0.135861,242.03889
Q1:,-124.784164,48.50015,0.04644,220.382951
K1:,-124.784164,48.50015,0.426886,246.338972
K2:,-124.784164,48.50015,0.063437,259.531993
N2:,-124.784164,48.50015,0.173786,216.137478
M2:,-124.784164,48.50015,0.823153,240.032989
S2:,-124.784164,48.50015,0.241312,267.728088
O1:,-124.787506,48.504128,0.262827,230.01605
P1:,-124.787506,48.504128,0.135444,242.101799
Q1:,-124.787506,48.504128,0.046312,220.447584
K1:,-124.787506,48.504128,0.425563,246.407845
K2:,-124.787506,48.504128,0.063393,259.465119
N2:,-124.787506,48.504128,0.173717,216.021495
M2:,-124.787506,48.504128,0.823016,239.916969
S2:,-124.787506,48.504128,0.241277,267.632264
O1:,-124.79085,48.50811,0.26221,230.09413
P1:,-124.79085,48.50811,0.135059,242.169726
Q1:,-124.79085,48.50811,0.046202,220.51484
K1:,-124.79085,48.50811,0.424345,246.480109
K2:,-124.79085,48.50811,0.063366,259.385733
N2:,-124.79085,48.50811,0.173649,215.913845
M2:,-124.79085,48.50811,0.822871,239.808382
S2:,-124.79085,48.50811,0.241246,267.54071
O1:,-124.79419,48.512093,0.261601,230.169035
P1:,-124.79419,48.512093,0.134677,242.233521
Q1:,-124.79419,48.512093,0.046094,220.579133
K1:,-124.79419,48.512093,0.423139,246.548071
K2:,-124.79419,48.512093,0.063355,259.292936
N2:,-124.79419,48.512093,0.173604,215.804258
M2:,-124.79419,48.512093,0.822819,239.698102
S2:,-124.79419,48.512093,0.241241,267.446262
O1:,-124.79752,48.51607,0.26099,230.243565
P1:,-124.79752,48.51607,0.134293,242.296997
Q1:,-124.79752,48.51607,0.045986,220.643049
K1:,-124.79752,48.51607,0.421928,246.615809
K2:,-124.79752,48.51607,0.063343,259.198994
N2:,-124.79752,48.51607,0.173558,215.694098
M2:,-124.79752,48.51607,0.822769,239.587321
S2:,-124.79752,48.51607,0.241236,267.351343
O1:,-124.800865,48.520054,0.260377,230.3185
P1:,-124.800865,48.520054,0.133909,242.36083
Q1:,-124.800865,48.520054,0.045878,220.707301
K1:,-124.800865,48.520054,0.420715,246.683937
K2:,-124.800865,48.520054,0.063331,259.104788
N2:,-124.800865,48.520054,0.173514,215.583582
M2:,-124.800865,48.520054,0.822723,239.476242
S2:,-124.800865,48.520054,0.241233,267.256177
O1:,-124.80421,48.524033,0.259765,230.393657
P1:,-124.80421,48.524033,0.133525,242.424893
Q1:,-124.80421,48.524033,0.04577,220.771738
K1:,-124.80421,48.524033,0.419503,246.752318
K2:,-124.80421,48.524033,0.06332,259.010636
N2:,-124.80421,48.524033,0.173471,215.473101
M2:,-124.80421,48.524033,0.822682,239.365249
S2:,-124.80421,48.524033,0.24123,267.161094
O1:,-124.80755,48.52801,0.25925,230.468197
P1:,-124.80755,48.52801,0.13319,242.489516
Q1:,-124.80755,48.52801,0.045678,220.836035
K1:,-124.80755,48.52801,0.418435,246.820571
K2:,-124.80755,48.52801,0.063339,258.903142
N2:,-124.80755,48.52801,0.173462,215.36448
M2:,-124.80755,48.52801,0.822807,239.256382
S2:,-124.80755,48.52801,0.241276,267.065575
O1:,-124.81089,48.531994,0.258744,230.543122
P1:,-124.81089,48.531994,0.132859,242.554673
Q1:,-124.81089,48.531994,0.045587,220.900713
K1:,-124.81089,48.531994,0.41738,246.88932
K2:,-124.81089,48.531994,0.06336,258.794312
N2:,-124.81089,48.531994,0.173457,215.255896
M2:,-124.81089,48.531994,0.822948,239.147609
S2:,-124.81089,48.531994,0.241327,266.969925
O1:,-124.81423,48.535973,0.258291,230.620447
P1:,-124.81423,48.535973,0.132554,242.623385
Q1:,-124.81423,48.535973,0.045508,220.968029
K1:,-124.81423,48.535973,0.416412,246.961081
K2:,-124.81423,48.535973,0.063394,258.673197
N2:,-124.81423,48.535973,0.173458,215.150052
M2:,-124.81423,48.535973,0.823112,239.041037
S2:,-124.81423,48.535973,0.241386,266.874579
O1:,-124.81757,48.53995,0.257873,230.698991
P1:,-124.81757,48.53995,0.132267,242.694381
Q1:,-124.81757,48.53995,0.045436,221.036818
K1:,-124.81757,48.53995,0.415506,247.034812
K2:,-124.81757,48.53995,0.063434,258.542841
N2:,-124.81757,48.53995,0.173466,215.045048
M2:,-124.81757,48.53995,0.823302,238.935098
S2:,-124.81757,48.53995,0.241455,266.778686
O1:,-124.820915,48.54393,0.257469,230.775052
P1:,-124.820915,48.54393,0.13199,242.764694
Q1:,-124.820915,48.54393,0.045367,221.103811
K1:,-124.820915,48.54393,0.414629,247.108125
K2:,-124.820915,48.54393,0.063468,258.404221
N2:,-124.820915,48.54393,0.173489,214.934222
M2:,-124.820915,48.54393,0.823571,238.824209
S2:,-124.820915,48.54393,0.24154,266.678139
O1:,-124.82426,48.54791,0.257065,230.851354
P1:,-124.82426,48.54791,0.131714,242.835302
Q1:,-124.82426,48.54791,0.045297,221.171008
K1:,-124.82426,48.54791,0.413753,247.181748
K2:,-124.82426,48.54791,0.063502,258.265749
N2:,-124.82426,48.54791,0.173512,214.823424
M2:,-124.82426,48.54791,0.823844,238.713393
S2:,-124.82426,48.54791,0.241626,266.577663
O1:,-124.8276,48.551888,0.256718,230.919392
P1:,-124.8276,48.551888,0.131469,242.899103
Q1:,-124.8276,48.551888,0.045237,221.229744
K1:,-124.8276,48.551888,0.412968,247.248635
K2:,-124.8276,48.551888,0.063547,258.116923
N2:,-124.8276,48.551888,0.173558,214.716729
M2:,-124.8276,48.551888,0.824206,238.606564
S2:,-124.8276,48.551888,0.241737,266.478838
O1:,-124.83094,48.555866,0.256386,230.985585
P1:,-124.83094,48.555866,0.131231,242.961441
Q1:,-124.83094,48.555866,0.04518,221.286566
K1:,-124.83094,48.555866,0.412205,247.31409
K2:,-124.83094,48.555866,0.063596,257.965791
N2:,-124.83094,48.555866,0.17361,214.611042
M2:,-124.83094,48.555866,0.824593,238.500745
S2:,-124.83094,48.555866,0.241855,266.380466
O1:,-124.83428,48.559845,0.256054,231.051974
P1:,-124.83428,48.559845,0.130994,243.024032
Q1:,-124.83428,48.559845,0.045123,221.343554
K1:,-124.83428,48.559845,0.411442,247.379816
K2:,-124.83428,48.559845,0.063645,257.814863
N2:,-124.83428,48.559845,0.173662,214.505401
M2:,-124.83428,48.559845,0.824983,238.395005
S2:,-124.83428,48.559845,0.241974,266.282171
O1:,-124.83762,48.563824,0.255704,231.119074
P1:,-124.83762,48.563824,0.130748,243.087494
Q1:,-124.83762,48.563824,0.045062,221.400751
K1:,-124.83762,48.563824,0.410651,247.446367
K2:,-124.83762,48.563824,0.063693,257.656923
N2:,-124.83762,48.563824,0.173705,214.400945
M2:,-124.83762,48.563824,0.825322,238.290172
S2:,-124.83762,48.563824,0.242079,266.184084
O1:,-124.840965,48.567802,0.255373,231.181128
P1:,-124.840965,48.567802,0.130514,243.147864
Q1:,-124.840965,48.567802,0.045003,221.452348
K1:,-124.840965,48.567802,0.409898,247.509873
K2:,-124.840965,48.567802,0.063741,257.488489
N2:,-124.840965,48.567802,0.173747,214.298913
M2:,-124.840965,48.567802,0.825646,238.187691
S2:,-124.840965,48.567802,0.242178,266.086934
O1:,-124.84431,48.571777,0.255148,231.230265
P1:,-124.84431,48.571777,0.13034,243.199355
Q1:,-124.84431,48.571777,0.044963,221.491882
K1:,-124.84431,48.571777,0.409333,247.564869
K2:,-124.84431,48.571777,0.063793,257.325217
N2:,-124.84431,48.571777,0.173824,214.196795
M2:,-124.84431,48.571777,0.82614,238.086297
S2:,-124.84431,48.571777,0.24232,265.990753
O1:,-124.84765,48.575756,0.254901,231.281622
P1:,-124.84765,48.575756,0.130153,243.253714
Q1:,-124.84765,48.575756,0.044919,221.533872
K1:,-124.84765,48.575756,0.408731,247.62286
K2:,-124.84765,48.575756,0.063832,257.158632
N2:,-124.84765,48.575756,0.173895,214.091738
M2:,-124.84765,48.575756,0.826612,237.982314
S2:,-124.84765,48.575756,0.242453,265.892554
O1:,-124.85099,48.57973,0.254653,231.332972
P1:,-124.85099,48.57973,0.129966,243.308102
Q1:,-124.85099,48.57973,0.044874,221.575848
K1:,-124.85099,48.57973,0.40813,247.680888
K2:,-124.85099,48.57973,0.063872,256.992399
N2:,-124.85099,48.57973,0.173967,213.986866
M2:,-124.85099,48.57973,0.827087,237.878554
S2:,-124.85099,48.57973,0.242586,265.794557
O1:,-124.85433,48.58371,0.254406,231.38455
P1:,-124.85433,48.58371,0.12978,243.3628
Q1:,-124.85433,48.58371,0.04483,221.618023
K1:,-124.85433,48.58371,0.407528,247.739248
K2:,-124.85433,48.58371,0.063913,256.826204
N2:,-124.85433,48.58371,0.174039,213.881964
M2:,-124.85433,48.58371,0.827565,237.77479
S2:,-124.85433,48.58371,0.24272,265.696555
O1:,-124.85767,48.587685,0.254181,231.427722
P1:,-124.85767,48.587685,0.129612,243.408935
Q1:,-124.85767,48.587685,0.044789,221.652722
K1:,-124.85767,48.587685,0.406983,247.789565
K2:,-124.85767,48.587685,0.063958,256.681165
N2:,-124.85767,48.587685,0.17413,213.781965
M2:,-124.85767,48.587685,0.828137,237.676466
S2:,-124.85767,48.587685,0.242881,265.604907
O1:,-124.861015,48.591663,0.253971,231.46473
P1:,-124.861015,48.591663,0.129457,243.448794
Q1:,-124.861015,48.591663,0.04475,221.681933
K1:,-124.861015,48.591663,0.406478,247.834005
K2:,-124.861015,48.591663,0.064007,256.551633
N2:,-124.861015,48.591663,0.174236,213.685488
M2:,-124.861015,48.591663,0.828782,237.582068
S2:,-124.861015,48.591663,0.243062,265.51787
O1:,-124.86436,48.59564,0.253761,231.501781
P1:,-124.86436,48.59564,0.129303,243.488726
Q1:,-124.86436,48.59564,0.044711,221.711179
K1:,-124.86436,48.59564,0.405974,247.87853
K2:,-124.86436,48.59564,0.064056,256.42232
N2:,-124.86436,48.59564,0.174341,213.589146
M2:,-124.86436,48.59564,0.829429,237.487836
S2:,-124.86436,48.59564,0.243243,265.430978
O1:,-124.8677,48.599613,0.253552,231.538874
P1:,-124.8677,48.599613,0.129148,243.528738
Q1:,-124.8677,48.599613,0.044672,221.740464
K1:,-124.8677,48.599613,0.40547,247.923147
K2:,-124.8677,48.599613,0.064106,256.293357
N2:,-124.8677,48.599613,0.174447,213.493029
M2:,-124.8677,48.599613,0.830077,237.393856
S2:,-124.8677,48.599613,0.243425,265.344313
O1:,-124.87104,48.60359,0.253342,231.576104
P1:,-124.87104,48.60359,0.128994,243.568939
Q1:,-124.87104,48.60359,0.044634,221.769869
K1:,-124.87104,48.60359,0.404967,247.967971
K2:,-124.87104,48.60359,0.064155,256.164504
N2:,-124.87104,48.60359,0.174554,213.396956
M2:,-124.87104,48.60359,0.830727,237.299947
S2:,-124.87104,48.60359,0.243607,265.25771
O1:,-124.87438,48.607563,0.253132,231.612953
P1:,-124.87438,48.607563,0.128839,243.608605
Q1:,-124.87438,48.607563,0.044595,221.799193
K1:,-124.87438,48.607563,0.404464,248.012348
K2:,-124.87438,48.607563,0.064206,256.041827
N2:,-124.87438,48.607563,0.174662,213.301982
M2:,-124.87438,48.607563,0.831387,237.207292
S2:,-124.87438,48.607563,0.243792,265.172655
O1:,-124.87772,48.611538,0.252917,231.647286
P1:,-124.87772,48.611538,0.128686,243.64488
Q1:,-124.87772,48.611538,0.044553,221.827825
K1:,-124.87772,48.611538,0.403967,248.053853
K2:,-124.87772,48.611538,0.064257,255.957931
N2:,-124.87772,48.611538,0.17478,213.213934
M2:,-124.87772,48.611538,0.832091,237.122325
S2:,-124.87772,48.611538,0.243994,265.09724
O1:,-124.881065,48.615513,0.252702,231.681618
P1:,-124.881065,48.615513,0.128533,243.681164
Q1:,-124.881065,48.615513,0.044512,221.856448
K1:,-124.881065,48.615513,0.40347,248.095381
K2:,-124.881065,48.615513,0.064309,255.874131
N2:,-124.881065,48.615513,0.174898,213.125979
M2:,-124.881065,48.615513,0.832798,237.037484
S2:,-124.881065,48.615513,0.244197,265.021933
O1:,-124.88441,48.619488,0.252487,231.716008
P1:,-124.88441,48.619488,0.12838,243.717533
Q1:,-124.88441,48.619488,0.044471,221.885125
K1:,-124.88441,48.619488,0.402973,248.137011
K2:,-124.88441,48.619488,0.064361,255.790466
N2:,-124.88441,48.619488,0.175017,213.038143
M2:,-124.88441,48.619488,0.833506,236.952788
S2:,-124.88441,48.619488,0.2444,264.94675
O1:,-124.88775,48.623463,0.252272,231.750516
P1:,-124.88775,48.623463,0.128227,243.754069
Q1:,-124.88775,48.623463,0.04443,221.913915
K1:,-124.88775,48.623463,0.402477,248.178824
K2:,-124.88775,48.623463,0.064413,255.706973
N2:,-124.88775,48.623463,0.175136,212.950452
M2:,-124.88775,48.623463,0.834216,236.868253
S2:,-124.88775,48.623463,0.244603,264.87171
O1:,-124.89109,48.627438,0.252057,231.785084
P1:,-124.89109,48.627438,0.128074,243.790692
Q1:,-124.89109,48.627438,0.044389,221.942759
K1:,-124.89109,48.627438,0.401981,248.220739
K2:,-124.89109,48.627438,0.064465,255.623615
N2:,-124.89109,48.627438,0.175255,212.86288
M2:,-124.89109,48.627438,0.834927,236.783862
S2:,-124.89109,48.627438,0.244806,264.796794
O1:,-124.89444,48.631413,0.251835,231.82036
P1:,-124.89444,48.631413,0.127914,243.827341
Q1:,-124.89444,48.631413,0.044347,221.971748
K1:,-124.89444,48.631413,0.401463,248.26287
K2:,-124.89444,48.631413,0.064521,255.556133
N2:,-124.89444,48.631413,0.175382,212.777053
M2:,-124.89444,48.631413,0.835673,236.701493
S2:,-124.89444,48.631413,0.24502,264.724914
O1:,-124.89778,48.635384,0.251585,231.859216
P1:,-124.89778,48.635384,0.127737,243.86536
Q1:,-124.89778,48.635384,0.044301,222.004211
K1:,-124.89778,48.635384,0.400893,248.305876
K2:,-124.89778,48.635384,0.064573,255.517454
N2:,-124.89778,48.635384,0.175502,212.697005
M2:,-124.89778,48.635384,0.836392,236.625208
S2:,-124.89778,48.635384,0.245228,264.661229
O1:,-124.90112,48.63936,0.251335,231.898246
P1:,-124.90112,48.63936,0.12756,243.903599
Q1:,-124.90112,48.63936,0.044255,222.036833
K1:,-124.90112,48.63936,0.400323,248.349125
K2:,-124.90112,48.63936,0.064624,255.478807
N2:,-124.90112,48.63936,0.175623,212.616984
M2:,-124.90112,48.63936,0.837111,236.548969
S2:,-124.90112,48.63936,0.245437,264.597583
O1:,-124.904465,48.64333,0.251085,231.93718
P1:,-124.904465,48.64333,0.127383,243.941729
Q1:,-124.904465,48.64333,0.044208,222.069355
K1:,-124.904465,48.64333,0.399754,248.392272
K2:,-124.904465,48.64333,0.064676,255.440237
N2:,-124.904465,48.64333,0.175745,212.537153
M2:,-124.904465,48.64333,0.837833,236.472948
S2:,-124.904465,48.64333,0.245645,264.534116
O1:,-124.90781,48.647305,0.250835,231.97629
P1:,-124.90781,48.647305,0.127205,243.980079
Q1:,-124.90781,48.647305,0.044162,222.102036
K1:,-124.90781,48.647305,0.399184,248.435664
K2:,-124.90781,48.647305,0.064727,255.401697
N2:,-124.90781,48.647305,0.175867,212.45735
M2:,-124.90781,48.647305,0.838557,236.396975
S2:,-124.90781,48.647305,0.245854,264.470688
O1:,-124.91115,48.651276,0.250582,232.015612
P1:,-124.91115,48.651276,0.127026,244.018481
Q1:,-124.91115,48.651276,0.044115,222.134818
K1:,-124.91115,48.651276,0.398607,248.479131
K2:,-124.91115,48.651276,0.064779,255.363807
N2:,-124.91115,48.651276,0.175989,212.377668
M2:,-124.91115,48.651276,0.839283,236.321162
S2:,-124.91115,48.651276,0.246064,264.40742
O1:,-124.91449,48.655247,0.250277,232.060708
P1:,-124.91449,48.655247,0.126813,244.06113
Q1:,-124.91449,48.655247,0.04406,222.172505
K1:,-124.91449,48.655247,0.397922,248.526763
K2:,-124.91449,48.655247,0.064819,255.335138
N2:,-124.91449,48.655247,0.176094,212.300631
M2:,-124.91449,48.655247,0.839929,236.247966
S2:,-124.91449,48.655247,0.246249,264.347448
O1:,-124.91784,48.65922,0.24996,232.111158
P1:,-124.91784,48.65922,0.126592,244.108591
Q1:,-124.91784,48.65922,0.044002,222.215288
K1:,-124.91784,48.65922,0.397205,248.579092
K2:,-124.91784,48.65922,0.064856,255.306995
N2:,-124.91784,48.65922,0.176191,212.224247
M2:,-124.91784,48.65922,0.840541,236.175303
S2:,-124.91784,48.65922,0.246424,264.288028
