Tidal Elevation Constituents,,,,
Columns,,,,
Constituent,Longitude,Latitude,Amplitude (m),Phase (deg GMT)
Q1:,-124.75911,48.47028,0.047464,219.889326
K1:,-124.75911,48.47028,0.437233,245.800419
K2:,-124.75911,48.47028,0.063963,260.003763
N2:,-124.75911,48.47028,0.174522,217.027789
M2:,-124.75911,48.47028,0.825178,240.926655
S2:,-124.75911,48.47028,0.241869,268.458944
O1:,-124.76245,48.474262,0.268284,229.465585
P1:,-124.76245,48.474262,0.138667,241.617201
Q1:,-124.76245,48.474262,0.047313,219.95724
K1:,-124.76245,48.474262,0.435762,245.875032
K2:,-124.76245,48.474262,0.063865,259.945827
N2:,-124.76245,48.474262,0.174398,216.903079
M2:,-124.76245,48.474262,0.824792,240.801252
S2:,-124.76245,48.474262,0.24176,268.357522
O1:,-124.76579,48.478245,0.267468,229.540026
P1:,-124.76579,48.478245,0.1382,241.68483
Q1:,-124.76579,48.478245,0.047163,220.02577
K1:,-124.76579,48.478245,0.43429,245.95042
K2:,-124.76579,48.478245,0.063766,259.88735
N2:,-124.76579,48.478245,0.174273,216.778162
M2:,-124.76579,48.478245,0.824403,240.675665
S2:,-124.76579,48.478245,0.24165,268.25593
O1:,-124.769135,48.482227,0.266669,229.614902
P1:,-124.769135,48.482227,0.137741,241.752836
Q1:,-124.769135,48.482227,0.047015,220.094072
K1:,-124.769135,48.482227,0.43284,246.026031
K2:,-124.769135,48.482227,0.06367,259.828168
N2:,-124.769135,48.482227,0.174151,216.654863
M2:,-124.769135,48.482227,0.824021,240.551734
S2:,-124.769135,48.482227,0.241542,268.155565
O1:,-124.77248,48.48621,0.265972,229.690363
P1:,-124.77248,48.48621,0.137325,241.82106
Q1:,-124.77248,48.48621,0.046887,220.158972
K1:,-124.77248,48.48621,0.431521,246.100564
K2:,-124.77248,48.48621,0.063594,259.765436
N2:,-124.77248,48.48621,0.174037,216.542784
M2:,-124.77248,48.48621,0.823666,240.438901
S2:,-124.77248,48.48621,0.241443,268.063382
O1:,-124.77581,48.490192,0.265273,229.76217
P1:,-124.77581,48.490192,0.136907,241.88292
Q1:,-124.77581,48.490192,0.046759,220.222589
K1:,-124.77581,48.490192,0.430197,246.168251
K2:,-124.77581,48.490192,0.063549,259.698915
N2:,-124.77581,48.490192,0.173964,216.427235
M2:,-124.77581,48.490192,0.823513,240.323097
S2:,-124.77581,48.490192,0.241405,267.967718
O1:,-124.77915,48.494175,0.264574,229.83428
P1:,-124.77915,48.494175,0.136489,241.94504
Q1:,-124.77915,48.494175,0.046632,220.286481
K1:,-124.77915,48.494175,0.428872,246.23624
K2:,-124.77915,48.494175,0.063504,259.632228
N2:,-124.77915,48.494175,0.173892,216.31143
M2:,-124.77915,48.494175,0.823366,240.207108
S2:,-124.77915,48.494175,0.241367,267.871907
O1:,-124.78249,48.498158,0.263875,229.906772
P1:,-124.78249,48.498158,0.136071,242.007541
Q1:,-124.78249,48.498158,0.046504,220.350724
K1:,-124.78249,48.498158,0.427548,246.304651
K2:,-124.78249,48.498158,0.063459,259.565448
N2:,-124.78249,48.498158,0.173821,216.195529
M2:,-124.78249,48.498158,0.823223,240.091078
S2:,-124.78249,48.498158,0.24133,267.776067
O1:,-124.785835,48.50214,0.263176,229.979571
P1:,-124.785835,48.50214,0.135653,242.070325
Q1:,-124.785835,48.50214,0.046376,220.415247
K1:,-124.785835,48.50214,0.426224,246.373385
K2:,-124.785835,48.50214,0.063415,259.498556
N2:,-124.785835,48.50214,0.173751,216.079481
M2:,-124.785835,48.50214,0.823084,239.974965
S2:,-124.785835,48.50214,0.241294,267.680164
O1:,-124.78918,48.50612,0.262495,230.054398
P1:,-124.78918,48.50612,0.13524,242.135545
Q1:,-124.78918,48.50612,0.046253,220.480522
K1:,-124.78918,48.50612,0.42492,246.444121
K2:,-124.78918,48.50612,0.063369,259.42717
N2:,-124.78918,48.50612,0.173672,215.96588
M2:,-124.78918,48.50612,0.822898,239.860907
S2:,-124.78918,48.50612,0.241247,267.585485
O1:,-124.79252,48.5101,0.261908,230.131827
P1:,-124.79252,48.5101,0.134869,242.201863
Q1:,-124.79252,48.5101,0.046148,220.547225
K1:,-124.79252,48.5101,0.423746,246.514287
K2:,-124.79252,48.5101,0.063361,259.340008
N2:,-124.79252,48.5101,0.173626,215.859455
M2:,-124.79252,48.5101,0.822845,239.753625
S2:,-124.79252,48.5101,0.241244,267.493839
O1:,-124.79586,48.51408,0.261295,230.206175
P1:,-124.79586,48.51408,0.134485,242.265108
Q1:,-124.79586,48.51408,0.04604,220.610975
K1:,-124.79586,48.51408,0.422533,246.581784
K2:,-124.79586,48.51408,0.063349,259.24596
N2:,-124.79586,48.51408,0.173581,215.749155
M2:,-124.79586,48.51408,0.822795,239.642693
S2:,-124.79586,48.51408,0.241239,267.398787
O1:,-124.799194,48.518063,0.260683,230.281002
P1:,-124.799194,48.518063,0.134101,242.328875
Q1:,-124.799194,48.518063,0.045932,220.675148
K1:,-124.799194,48.518063,0.421321,246.649832
K2:,-124.799194,48.518063,0.063337,259.151867
N2:,-124.799194,48.518063,0.173536,215.638812
M2:,-124.799194,48.518063,0.822746,239.531748
S2:,-124.799194,48.518063,0.241234,267.303731
O1:,-124.802536,48.52204,0.260071,230.355956
P1:,-124.802536,48.52204,0.133717,242.39274
Q1:,-124.802536,48.52204,0.045824,220.739412
K1:,-124.802536,48.52204,0.42011,246.717999
K2:,-124.802536,48.52204,0.063325,259.057789
N2:,-124.802536,48.52204,0.173493,215.528429
M2:,-124.802536,48.52204,0.822703,239.42083
S2:,-124.802536,48.52204,0.241231,267.208708
O1:,-124.80588,48.526024,0.259503,230.430999
P1:,-124.80588,48.526024,0.133355,242.457224
Q1:,-124.80588,48.526024,0.045723,220.803933
K1:,-124.80588,48.526024,0.418962,246.786496
K2:,-124.80588,48.526024,0.063328,258.957461
N2:,-124.80588,48.526024,0.173465,215.418662
M2:,-124.80588,48.526024,0.822736,239.310668
S2:,-124.80588,48.526024,0.24125,267.113311
O1:,-124.80922,48.530003,0.258997,230.505649
P1:,-124.80922,48.530003,0.133024,242.522081
Q1:,-124.80922,48.530003,0.045633,220.868365
K1:,-124.80922,48.530003,0.417907,246.85493
K2:,-124.80922,48.530003,0.063349,258.848697
N2:,-124.80922,48.530003,0.173459,215.310171
M2:,-124.80922,48.530003,0.822877,239.201972
S2:,-124.80922,48.530003,0.241301,267.017728
O1:,-124.81256,48.53398,0.258501,230.580929
P1:,-124.81256,48.53398,0.132698,242.587795
Q1:,-124.81256,48.53398,0.045544,220.933444
K1:,-124.81256,48.53398,0.416869,246.924144
K2:,-124.81256,48.53398,0.063373,258.737874
N2:,-124.81256,48.53398,0.173456,215.202172
M2:,-124.81256,48.53398,0.823024,239.093713
S2:,-124.81256,48.53398,0.241354,266.922249
O1:,-124.8159,48.537964,0.258081,230.659976
P1:,-124.8159,48.537964,0.132409,242.658996
Q1:,-124.8159,48.537964,0.045472,221.002621
K1:,-124.8159,48.537964,0.415956,246.99804
K2:,-124.8159,48.537964,0.063415,258.608609
N2:,-124.8159,48.537964,0.173461,215.097968
M2:,-124.8159,48.537964,0.8232,238.98841
S2:,-124.8159,48.537964,0.241419,266.826956
O1:,-124.819244,48.541943,0.257671,230.737057
P1:,-124.819244,48.541943,0.132128,242.729566
Q1:,-124.819244,48.541943,0.045401,221.070347
K1:,-124.819244,48.541943,0.415067,247.071498
K2:,-124.819244,48.541943,0.063451,258.473419
N2:,-124.819244,48.541943,0.173477,214.989558
M2:,-124.819244,48.541943,0.823436,238.87957
S2:,-124.819244,48.541943,0.241497,266.728336
O1:,-124.822586,48.54592,0.257267,230.813185
P1:,-124.822586,48.54592,0.131852,242.799979
Q1:,-124.822586,48.54592,0.045332,221.137396
K1:,-124.822586,48.54592,0.414191,247.144916
K2:,-124.822586,48.54592,0.063485,258.334982
N2:,-124.822586,48.54592,0.1735,214.878834
M2:,-124.822586,48.54592,0.823707,238.768805
S2:,-124.822586,48.54592,0.241582,266.627904
O1:,-124.82593,48.5499,0.256885,230.886383
P1:,-124.82593,48.5499,0.131587,242.868044
Q1:,-124.82593,48.5499,0.045266,221.201409
K1:,-124.82593,48.5499,0.413349,247.216026
K2:,-124.82593,48.5499,0.063523,258.192546
N2:,-124.82593,48.5499,0.173532,214.769577
M2:,-124.82593,48.5499,0.824014,238.659492
S2:,-124.82593,48.5499,0.241678,266.528042
O1:,-124.82927,48.55388,0.256552,230.952539
P1:,-124.82927,48.55388,0.13135,242.930323
Q1:,-124.82927,48.55388,0.045209,221.258202
K1:,-124.82927,48.55388,0.412586,247.281415
K2:,-124.82927,48.55388,0.063572,258.041243
N2:,-124.82927,48.55388,0.173583,214.663822
M2:,-124.82927,48.55388,0.824399,238.553583
S2:,-124.82927,48.55388,0.241796,266.429585
O1:,-124.83261,48.557858,0.25622,231.018818
P1:,-124.83261,48.557858,0.131113,242.992775
Q1:,-124.83261,48.557858,0.045151,221.315096
K1:,-124.83261,48.557858,0.411823,247.346992
K2:,-124.83261,48.557858,0.06362,257.890227
N2:,-124.83261,48.557858,0.173636,214.558167
M2:,-124.83261,48.557858,0.824787,238.447813
S2:,-124.83261,48.557858,0.241915,266.33126
O1:,-124.83595,48.561832,0.255888,231.085173
P1:,-124.83595,48.561832,0.130876,243.055346
Q1:,-124.83595,48.561832,0.045094,221.372048
K1:,-124.83595,48.561832,0.411062,247.412701
K2:,-124.83595,48.561832,0.06367,257.739558
N2:,-124.83595,48.561832,0.173689,214.45265
M2:,-124.83595,48.561832,0.825179,238.342222
S2:,-124.83595,48.561832,0.242034,266.233106
O1:,-124.839294,48.56581,0.255513,231.153076
P1:,-124.839294,48.56581,0.130617,243.119767
Q1:,-124.839294,48.56581,0.045028,221.429356
K1:,-124.839294,48.56581,0.410229,247.480129
K2:,-124.839294,48.56581,0.063715,257.571392
N2:,-124.839294,48.56581,0.173718,214.349798
M2:,-124.839294,48.56581,0.825444,238.238569
S2:,-124.839294,48.56581,0.242118,266.135208
O1:,-124.842636,48.56979,0.255265,231.205392
P1:,-124.842636,48.56979,0.130429,243.173217
Q1:,-124.842636,48.56979,0.044984,221.47177
K1:,-124.842636,48.56979,0.409622,247.53696
K2:,-124.842636,48.56979,0.063769,257.407392
N2:,-124.842636,48.56979,0.173786,214.248325
M2:,-124.842636,48.56979,0.825896,238.137406
S2:,-124.842636,48.56979,0.242251,266.039165
O1:,-124.84598,48.57377,0.255024,231.256006
P1:,-124.84598,48.57377,0.130246,243.226604
Q1:,-124.84598,48.57377,0.044941,221.512934
K1:,-124.84598,48.57377,0.409032,247.593936
K2:,-124.84598,48.57377,0.063812,257.241797
N2:,-124.84598,48.57377,0.173859,214.144187
M2:,-124.84598,48.57377,0.826376,238.034219
S2:,-124.84598,48.57377,0.242386,265.941573
O1:,-124.84932,48.577744,0.254777,231.307306
P1:,-124.84932,48.577744,0.13006,243.280914
Q1:,-124.84932,48.577744,0.044896,221.554869
K1:,-124.84932,48.577744,0.40843,247.651879
K2:,-124.84932,48.577744,0.063852,257.07546
N2:,-124.84932,48.577744,0.173931,214.039272
M2:,-124.84932,48.577744,0.826849,237.930399
S2:,-124.84932,48.577744,0.242519,265.843523
O1:,-124.85266,48.581722,0.25453,231.358791
P1:,-124.85266,48.581722,0.129873,243.335482
Q1:,-124.85266,48.581722,0.044852,221.596964
K1:,-124.85266,48.581722,0.407829,247.7101
K2:,-124.85266,48.581722,0.063893,256.909217
N2:,-124.85266,48.581722,0.174003,213.934365
M2:,-124.85266,48.581722,0.827326,237.826616
S2:,-124.85266,48.581722,0.242653,265.745505
O1:,-124.856,48.585697,0.254286,231.409231
P1:,-124.856,48.585697,0.129689,243.389025
Q1:,-124.856,48.585697,0.044808,221.638123
K1:,-124.856,48.585697,0.407235,247.767373
K2:,-124.856,48.585697,0.063934,256.745952
N2:,-124.856,48.585697,0.174078,213.830211
M2:,-124.856,48.585697,0.827816,237.723686
S2:,-124.856,48.585697,0.242791,265.648443
O1:,-124.859344,48.589672,0.254076,231.446164
P1:,-124.859344,48.589672,0.129535,243.428784
Q1:,-124.859344,48.589672,0.044769,221.66727
K1:,-124.859344,48.589672,0.40673,247.8117
K2:,-124.859344,48.589672,0.063983,256.6164
N2:,-124.859344,48.589672,0.174183,213.733738
M2:,-124.859344,48.589672,0.82846,237.629277
S2:,-124.859344,48.589672,0.242971,265.561398
O1:,-124.862686,48.59365,0.253866,231.483237
P1:,-124.862686,48.59365,0.12938,243.468737
Q1:,-124.862686,48.59365,0.044731,221.696541
K1:,-124.862686,48.59365,0.406226,247.856241
K2:,-124.862686,48.59365,0.064032,256.487004
N2:,-124.862686,48.59365,0.174288,213.637341
M2:,-124.862686,48.59365,0.829105,237.534971
S2:,-124.862686,48.59365,0.243152,265.474442
O1:,-124.86603,48.597626,0.253656,231.520311
P1:,-124.86603,48.597626,0.129225,243.508709
Q1:,-124.86603,48.597626,0.044692,221.725807
K1:,-124.86603,48.597626,0.405722,247.900812
K2:,-124.86603,48.597626,0.064081,256.357825
N2:,-124.86603,48.597626,0.174394,213.541082
M2:,-124.86603,48.597626,0.829752,237.440837
S2:,-124.86603,48.597626,0.243334,265.387638
O1:,-124.86937,48.6016,0.253447,231.557453
P1:,-124.86937,48.6016,0.129071,243.548792
Q1:,-124.86937,48.6016,0.044653,221.755135
K1:,-124.86937,48.6016,0.405219,247.945509
K2:,-124.86937,48.6016,0.06413,256.228938
N2:,-124.86937,48.6016,0.1745,213.445005
M2:,-124.86937,48.6016,0.830401,237.346911
S2:,-124.86937,48.6016,0.243516,265.301021
O1:,-124.87271,48.605576,0.253238,231.594695
P1:,-124.87271,48.605576,0.128917,243.589017
Q1:,-124.87271,48.605576,0.044614,221.784548
K1:,-124.87271,48.605576,0.404715,247.990365
K2:,-124.87271,48.605576,0.06418,256.100207
N2:,-124.87271,48.605576,0.174607,213.34901
M2:,-124.87271,48.605576,0.831053,237.253094
S2:,-124.87271,48.605576,0.243698,265.214499
O1:,-124.87605,48.60955,0.253024,231.630103
P1:,-124.87605,48.60955,0.128763,243.626721
Q1:,-124.87605,48.60955,0.044574,221.813494
K1:,-124.87605,48.60955,0.404215,248.033076
K2:,-124.87605,48.60955,0.064231,255.999869
N2:,-124.87605,48.60955,0.174721,213.257952
M2:,-124.87605,48.60955,0.831739,237.1648
S2:,-124.87605,48.60955,0.243893,265.13494
O1:,-124.879395,48.613525,0.252809,231.664406
P1:,-124.879395,48.613525,0.12861,243.66296
Q1:,-124.879395,48.613525,0.044533,221.842091
K1:,-124.879395,48.613525,0.403718,248.074552
K2:,-124.879395,48.613525,0.064283,255.916002
N2:,-124.879395,48.613525,0.174839,213.169938
M2:,-124.879395,48.613525,0.832445,237.079887
S2:,-124.879395,48.613525,0.244096,265.05957
O1:,-124.88274,48.6175,0.252594,231.698767
P1:,-124.88274,48.6175,0.128457,243.699287
Q1:,-124.88274,48.6175,0.044492,221.870741
K1:,-124.88274,48.6175,0.403221,248.116132
K2:,-124.88274,48.6175,0.064335,255.83227
N2:,-124.88274,48.6175,0.174958,213.082043
M2:,-124.88274,48.6175,0.833152,236.995118
S2:,-124.88274,48.6175,0.244298,264.984325
O1:,-124.88608,48.621475,0.252379,231.733246
P1:,-124.88608,48.621475,0.128303,243.735779
Q1:,-124.88608,48.621475,0.044451,221.899505
K1:,-124.88608,48.621475,0.402725,248.157893
K2:,-124.88608,48.621475,0.064387,255.74871
N2:,-124.88608,48.621475,0.175076,212.994292
M2:,-124.88608,48.621475,0.833861,236.910511
S2:,-124.88608,48.621475,0.244501,264.909222
O1:,-124.88942,48.62545,0.252165,231.767783
P1:,-124.88942,48.62545,0.12815,243.772358
Q1:,-124.88942,48.62545,0.04441,221.928322
K1:,-124.88942,48.62545,0.402229,248.199757
K2:,-124.88942,48.62545,0.064439,255.665285
N2:,-124.88942,48.62545,0.175196,212.90666
M2:,-124.88942,48.62545,0.834571,236.826048
S2:,-124.88942,48.62545,0.244704,264.834244
O1:,-124.89277,48.629425,0.251949,231.802299
P1:,-124.89277,48.629425,0.127997,243.808845
Q1:,-124.89277,48.629425,0.044369,221.957001
K1:,-124.89277,48.629425,0.40173,248.241595
K2:,-124.89277,48.629425,0.064492,255.584099
N2:,-124.89277,48.629425,0.175317,212.819246
M2:,-124.89277,48.629425,0.835293,236.741879
S2:,-124.89277,48.629425,0.244911,264.759674
O1:,-124.89611,48.633396,0.25171,231.83973
P1:,-124.89611,48.633396,0.127826,243.84628
Q1:,-124.89611,48.633396,0.044324,221.987926
K1:,-124.89611,48.633396,0.401178,248.284298
K2:,-124.89611,48.633396,0.064547,255.536801
N2:,-124.89611,48.633396,0.175442,212.737057
M2:,-124.89611,48.633396,0.836032,236.663376
S2:,-124.89611,48.633396,0.245124,264.693093
O1:,-124.89945,48.63737,0.25146,231.878683
P1:,-124.89945,48.63737,0.127649,243.884421
Q1:,-124.89945,48.63737,0.044278,222.020477
K1:,-124.89945,48.63737,0.400608,248.327437
K2:,-124.89945,48.63737,0.064599,255.498135
N2:,-124.89945,48.63737,0.175563,212.657014
M2:,-124.89945,48.63737,0.836751,236.587106
S2:,-124.89945,48.63737,0.245332,264.62942
O1:,-124.902794,48.641346,0.25121,231.917706
P1:,-124.902794,48.641346,0.127471,243.92265
Q1:,-124.902794,48.641346,0.044232,222.053086
K1:,-124.902794,48.641346,0.400038,248.370684
K2:,-124.902794,48.641346,0.06465,255.459502
N2:,-124.902794,48.641346,0.175684,212.577032
M2:,-124.902794,48.641346,0.837472,236.510921
S2:,-124.902794,48.641346,0.245541,264.565818
O1:,-124.906136,48.645317,0.25096,231.956733
P1:,-124.906136,48.645317,0.127294,243.960903
Q1:,-124.906136,48.645317,0.044185,222.085696
K1:,-124.906136,48.645317,0.399469,248.413964
K2:,-124.906136,48.645317,0.064702,255.420969
N2:,-124.906136,48.645317,0.175806,212.497252
M2:,-124.906136,48.645317,0.838195,236.434958
S2:,-124.906136,48.645317,0.24575,264.502399
O1:,-124.90948,48.64929,0.25071,231.995853
P1:,-124.90948,48.64929,0.127117,243.999277
Q1:,-124.90948,48.64929,0.044139,222.118387
K1:,-124.90948,48.64929,0.3989,248.457385
K2:,-124.90948,48.64929,0.064753,255.382476
N2:,-124.90948,48.64929,0.175928,212.417541
M2:,-124.90948,48.64929,0.838919,236.359086
S2:,-124.90948,48.64929,0.245959,264.439055
O1:,-124.91282,48.653263,0.250435,232.036047
P1:,-124.91282,48.653263,0.126923,244.037901
Q1:,-124.91282,48.653263,0.044088,222.151638
K1:,-124.91282,48.653263,0.398277,248.5011
K2:,-124.91282,48.653263,0.064801,255.349156
N2:,-124.91282,48.653263,0.176045,212.338807
M2:,-124.91282,48.653263,0.839622,236.284282
S2:,-124.91282,48.653263,0.246161,264.377139
O1:,-124.91616,48.657234,0.250119,232.08597
P1:,-124.91616,48.657234,0.126702,244.084917
Q1:,-124.91616,48.657234,0.044031,222.193937
K1:,-124.91616,48.657234,0.397564,248.552984
K2:,-124.91616,48.657234,0.064837,255.32108
N2:,-124.91616,48.657234,0.176142,212.262438
M2:,-124.91616,48.657234,0.840234,236.211624
S2:,-124.91616,48.657234,0.246336,264.31773
O1:,-124.91951,48.661205,0.249802,232.136444
P1:,-124.91951,48.661205,0.126481,244.132415
Q1:,-124.91951,48.661205,0.043974,222.23674
K1:,-124.91951,48.661205,0.396847,248.605358
K2:,-124.91951,48.661205,0.064874,255.292961
N2:,-124.91951,48.661205,0.176239,212.186128
M2:,-124.91951,48.661205,0.840847,236.139047
S2:,-124.91951,48.661205,0.246511,264.25838
