Tidal;Elevation;Prediction;(Time;in;GMT);;
0.9237;-125.913;49.154;2006;262;6;0;0
0.7993;-125.913;49.154;2006;262;7;0;0
0.4618;-125.913;49.154;2006;262;8;0;0
-0.0246;-125.913;49.154;2006;262;9;0;0
-0.5551;-125.913;49.154;2006;262;10;0;0
-1.0092;-125.913;49.154;2006;262;11;0;0
-1.2803;-125.913;49.154;2006;262;12;0;0
-1.3024;-125.913;49.154;2006;262;13;0;0
-1.0675;-125.913;49.154;2006;262;14;0;0
-0.6281;-125.913;49.154;2006;262;15;0;0
-0.0847;-125.913;49.154;2006;262;16;0;0
0.4379;-125.913;49.154;2006;262;17;0;0
0.8222;-125.913;49.154;2006;262;18;0;0
0.9863;-125.913;49.154;2006;262;19;0;0
0.9042;-125.913;49.154;2006;262;20;0;0
0.612;-125.913;49.154;2006;262;21;0;0
0.198;-125.913;49.154;2006;262;22;0;0
-0.2204;-125.913;49.154;2006;262;23;0;0
-0.5273;-125.913;49.154;2006;263;0;0;0
-0.6377;-125.913;49.154;2006;263;1;0;0
-0.5212;-125.913;49.154;2006;263;2;0;0
-0.2091;-125.913;49.154;2006;263;3;0;0
0.2131;-125.913;49.154;2006;263;4;0;0
0.6273;-125.913;49.154;2006;263;5;0;0
0.9141;-125.913;49.154;2006;263;6;0;0
0.9841;-125.913;49.154;2006;263;7;0;0
0.8021;-125.913;49.154;2006;263;8;0;0
0.3976;-125.913;49.154;2006;263;9;0;0
-0.1412;-125.913;49.154;2006;263;10;0;0
-0.6885;-125.913;49.154;2006;263;11;0;0
-1.1125;-125.913;49.154;2006;263;12;0;0
-1.3085;-125.913;49.154;2006;263;13;0;0
-1.2257;-125.913;49.154;2006;263;14;0;0
-0.8809;-125.913;49.154;2006;263;15;0;0
-0.3547;-125.913;49.154;2006;263;16;0;0
0.2282;-125.913;49.154;2006;263;17;0;0
0.7298;-125.913;49.154;2006;263;18;0;0
1.0335;-125.913;49.154;2006;263;19;0;0
1.0733;-125.913;49.154;2006;263;20;0;0
0.8503;-125.913;49.154;2006;263;21;0;0
0.4316;-125.913;49.154;2006;263;22;0;0
-0.0667;-125.913;49.154;2006;263;23;0;0
-0.5103;-125.913;49.154;2006;264;0;0;0
-0.7808;-125.913;49.154;2006;264;1;0;0
-0.8069;-125.913;49.154;2006;264;2;0;0
-0.5831;-125.913;49.154;2006;264;3;0;0
-0.1705;-125.913;49.154;2006;264;4;0;0
0.3181;-125.913;49.154;2006;264;5;0;0
0.7482;-125.913;49.154;2006;264;6;0;0
0.9987;-125.913;49.154;2006;264;7;0;0
0.9935;-125.913;49.154;2006;264;8;0;0
0.7226;-125.913;49.154;2006;264;9;0;0
0.2453;-125.913;49.154;2006;264;10;0;0
-0.3238;-125.913;49.154;2006;264;11;0;0
-0.8441;-125.913;49.154;2006;264;12;0;0
-1.1842;-125.913;49.154;2006;264;13;0;0
-1.2562;-125.913;49.154;2006;264;14;0;0
-1.0382;-125.913;49.154;2006;264;15;0;0
-0.5808;-125.913;49.154;2006;264;16;0;0
0.0054;-125.913;49.154;2006;264;17;0;0
0.5776;-125.913;49.154;2006;264;18;0;0
0.9967;-125.913;49.154;2006;264;19;0;0
1.1626;-125.913;49.154;2006;264;20;0;0
1.0398;-125.913;49.154;2006;264;21;0;0
0.6656;-125.913;49.154;2006;264;22;0;0
0.141;-125.913;49.154;2006;264;23;0;0
-0.3962;-125.913;49.154;2006;265;0;0;0
-0.8061;-125.913;49.154;2006;265;1;0;0
-0.9836;-125.913;49.154;2006;265;2;0;0
-0.8852;-125.913;49.154;2006;265;3;0;0
-0.5398;-125.913;49.154;2006;265;4;0;0
-0.0415;-125.913;49.154;2006;265;5;0;0
0.4754;-125.913;49.154;2006;265;6;0;0
0.871;-125.913;49.154;2006;265;7;0;0
1.037;-125.913;49.154;2006;265;8;0;0
0.9247;-125.913;49.154;2006;265;9;0;0
0.5582;-125.913;49.154;2006;265;10;0;0
0.0289;-125.913;49.154;2006;265;11;0;0
-0.5282;-125.913;49.154;2006;265;12;0;0
-0.9689;-125.913;49.154;2006;265;13;0;0
-1.1771;-125.913;49.154;2006;265;14;0;0
-1.0954;-125.913;49.154;2006;265;15;0;0
-0.7398;-125.913;49.154;2006;265;16;0;0
-0.1968;-125.913;49.154;2006;265;17;0;0
0.3993;-125.913;49.154;2006;265;18;0;0
0.8997;-125.913;49.154;2006;265;19;0;0
1.1794;-125.913;49.154;2006;265;20;0;0
1.1694;-125.913;49.154;2006;265;21;0;0
0.8737;-125.913;49.154;2006;265;22;0;0
0.3689;-125.913;49.154;2006;265;23;0;0
-0.2163;-125.913;49.154;2006;266;0;0;0
-0.7333;-125.913;49.154;2006;266;1;0;0
-1.0527;-125.913;49.154;2006;266;2;0;0
-1.0965;-125.913;49.154;2006;266;3;0;0
-0.8587;-125.913;49.154;2006;266;4;0;0
-0.4055;-125.913;49.154;2006;266;5;0;0
0.1414;-125.913;49.154;2006;266;6;0;0
0.637;-125.913;49.154;2006;266;7;0;0
0.9508;-125.913;49.154;2006;266;8;0;0
1.0008;-125.913;49.154;2006;266;9;0;0
0.7746;-125.913;49.154;2006;266;10;0;0
0.3328;-125.913;49.154;2006;266;11;0;0
-0.2069;-125.913;49.154;2006;266;12;0;0
-0.7003;-125.913;49.154;2006;266;13;0;0
-1.0144;-125.913;49.154;2006;266;14;0;0
-1.0621;-125.913;49.154;2006;266;15;0;0
-0.8251;-125.913;49.154;2006;266;16;0;0
-0.3592;-125.913;49.154;2006;266;17;0;0
0.2195;-125.913;49.154;2006;266;18;0;0
0.7646;-125.913;49.154;2006;266;19;0;0
1.1368;-125.913;49.154;2006;266;20;0;0
1.2394;-125.913;49.154;2006;266;21;0;0
1.0436;-125.913;49.154;2006;266;22;0;0
0.5958;-125.913;49.154;2006;266;23;0;0
0.0056;-125.913;49.154;2006;267;0;0;0
-0.5817;-125.913;49.154;2006;267;1;0;0
-1.0224;-125.913;49.154;2006;267;2;0;0
-1.211;-125.913;49.154;2006;267;3;0;0
-1.1067;-125.913;49.154;2006;267;4;0;0
-0.7431;-125.913;49.154;2006;267;5;0;0
-0.219;-125.913;49.154;2006;267;6;0;0
0.3276;-125.913;49.154;2006;267;7;0;0
0.7556;-125.913;49.154;2006;267;8;0;0
0.957;-125.913;49.154;2006;267;9;0;0
0.885;-125.913;49.154;2006;267;10;0;0
0.5656;-125.913;49.154;2006;267;11;0;0
0.0902;-125.913;49.154;2006;267;12;0;0
-0.4088;-125.913;49.154;2006;267;13;0;0
-0.7923;-125.913;49.154;2006;267;14;0;0
-0.9519;-125.913;49.154;2006;267;15;0;0
-0.838;-125.913;49.154;2006;267;16;0;0
-0.4733;-125.913;49.154;2006;267;17;0;0
0.0527;-125.913;49.154;2006;267;18;0;0
0.6066;-125.913;49.154;2006;267;19;0;0
1.0451;-125.913;49.154;2006;267;20;0;0
1.2521;-125.913;49.154;2006;267;21;0;0
1.1685;-125.913;49.154;2006;267;22;0;0
0.808;-125.913;49.154;2006;267;23;0;0
0.2532;-125.913;49.154;2006;268;0;0;0
-0.3644;-125.913;49.154;2006;268;1;0;0
-0.8982;-125.913;49.154;2006;268;2;0;0
-1.2233;-125.913;49.154;2006;268;3;0;0
-1.2676;-125.913;49.154;2006;268;4;0;0
-1.0296;-125.913;49.154;2006;268;5;0;0
-0.5776;-125.913;49.154;2006;268;6;0;0
-0.0314;-125.913;49.154;2006;268;7;0;0
0.4688;-125.913;49.154;2006;268;8;0;0
0.799;-125.913;49.154;2006;268;9;0;0
0.8826;-125.913;49.154;2006;268;10;0;0
0.7099;-125.913;49.154;2006;268;11;0;0
0.3393;-125.913;49.154;2006;268;12;0;0
-0.1185;-125.913;49.154;2006;268;13;0;0
-0.5306;-125.913;49.154;2006;268;14;0;0
-0.7767;-125.913;49.154;2006;268;15;0;0
-0.7813;-125.913;49.154;2006;268;16;0;0
-0.5338;-125.913;49.154;2006;268;17;0;0
-0.0914;-125.913;49.154;2006;268;18;0;0
0.4348;-125.913;49.154;2006;268;19;0;0
0.909;-125.913;49.154;2006;268;20;0;0
1.2048;-125.913;49.154;2006;268;21;0;0
1.2386;-125.913;49.154;2006;268;22;0;0
0.9908;-125.913;49.154;2006;268;23;0;0
0.5114;-125.913;49.154;2006;269;0;0;0
-0.0921;-125.913;49.154;2006;269;1;0;0
-0.6818;-125.913;49.154;2006;269;2;0;0
-1.1237;-125.913;49.154;2006;269;3;0;0
-1.3207;-125.913;49.154;2006;269;4;0;0
-1.2365;-125.913;49.154;2006;269;5;0;0
-0.9032;-125.913;49.154;2006;269;6;0;0
-0.4125;-125.913;49.154;2006;269;7;0;0
0.109;-125.913;49.154;2006;269;8;0;0
0.5325;-125.913;49.154;2006;269;9;0;0
0.7596;-125.913;49.154;2006;269;10;0;0
0.7467;-125.913;49.154;2006;269;11;0;0
0.5155;-125.913;49.154;2006;269;12;0;0
0.145;-125.913;49.154;2006;269;13;0;0
-0.2492;-125.913;49.154;2006;269;14;0;0
-0.547;-125.913;49.154;2006;269;15;0;0
-0.6553;-125.913;49.154;2006;269;16;0;0
-0.5328;-125.913;49.154;2006;269;17;0;0
-0.2015;-125.913;49.154;2006;269;18;0;0
0.2588;-125.913;49.154;2006;269;19;0;0
0.7311;-125.913;49.154;2006;269;20;0;0
1.0904;-125.913;49.154;2006;269;21;0;0
1.2368;-125.913;49.154;2006;269;22;0;0
1.1205;-125.913;49.154;2006;269;23;0;0
0.7555;-125.913;49.154;2006;270;0;0;0
0.2163;-125.913;49.154;2006;270;1;0;0
-0.3803;-125.913;49.154;2006;270;2;0;0
-0.9036;-125.913;49.154;2006;270;3;0;0
-1.2414;-125.913;49.154;2006;270;4;0;0
-1.3267;-125.913;49.154;2006;270;5;0;0
-1.1532;-125.913;49.154;2006;270;6;0;0
-0.7755;-125.913;49.154;2006;270;7;0;0
-0.2939;-125.913;49.154;2006;270;8;0;0
0.1715;-125.913;49.154;2006;270;9;0;0
0.512;-125.913;49.154;2006;270;10;0;0
0.6565;-125.913;49.154;2006;270;11;0;0
0.5887;-125.913;49.154;2006;270;12;0;0
0.3497;-125.913;49.154;2006;270;13;0;0
0.025;-125.913;49.154;2006;270;14;0;0
-0.2785;-125.913;49.154;2006;270;15;0;0
-0.4618;-125.913;49.154;2006;270;16;0;0
-0.4602;-125.913;49.154;2006;270;17;0;0
-0.2603;-125.913;49.154;2006;270;18;0;0
0.0955;-125.913;49.154;2006;270;19;0;0
0.5203;-125.913;49.154;2006;270;20;0;0
0.9044;-125.913;49.154;2006;270;21;0;0
1.1431;-125.913;49.154;2006;270;22;0;0
1.1643;-125.913;49.154;2006;270;23;0;0
0.9463;-125.913;49.154;2006;271;0;0;0
0.5243;-125.913;49.154;2006;271;1;0;0
-0.0179;-125.913;49.154;2006;271;2;0;0
-0.568;-125.913;49.154;2006;271;3;0;0
-1.012;-125.913;49.154;2006;271;4;0;0
-1.2617;-125.913;49.154;2006;271;5;0;0
-1.2746;-125.913;49.154;2006;271;6;0;0
-1.0631;-125.913;49.154;2006;271;7;0;0
-0.6896;-125.913;49.154;2006;271;8;0;0
-0.2498;-125.913;49.154;2006;271;9;0;0
0.1519;-125.913;49.154;2006;271;10;0;0
0.4283;-125.913;49.154;2006;271;11;0;0
0.5301;-125.913;49.154;2006;271;12;0;0
0.4567;-125.913;49.154;2006;271;13;0;0
0.2543;-125.913;49.154;2006;271;14;0;0
0.0017;-125.913;49.154;2006;271;15;0;0
-0.2113;-125.913;49.154;2006;271;16;0;0
-0.3081;-125.913;49.154;2006;271;17;0;0
-0.246;-125.913;49.154;2006;271;18;0;0
-0.0276;-125.913;49.154;2006;271;19;0;0
0.2996;-125.913;49.154;2006;271;20;0;0
0.6552;-125.913;49.154;2006;271;21;0;0
0.9457;-125.913;49.154;2006;271;22;0;0
1.0888;-125.913;49.154;2006;271;23;0;0
1.0338;-125.913;49.154;2006;272;0;0;0
0.7751;-125.913;49.154;2006;272;1;0;0
0.3542;-125.913;49.154;2006;272;2;0;0
-0.15;-125.913;49.154;2006;272;3;0;0
-0.639;-125.913;49.154;2006;272;4;0;0
-1.018;-125.913;49.154;2006;272;5;0;0
-1.2175;-125.913;49.154;2006;272;6;0;0
-1.2082;-125.913;49.154;2006;272;7;0;0
-1.0069;-125.913;49.154;2006;272;8;0;0
-0.6706;-125.913;49.154;2006;272;9;0;0
-0.2815;-125.913;49.154;2006;272;10;0;0
0.0736;-125.913;49.154;2006;272;11;0;0
0.3237;-125.913;49.154;2006;272;12;0;0
0.4299;-125.913;49.154;2006;272;13;0;0
0.3934;-125.913;49.154;2006;272;14;0;0
0.2523;-125.913;49.154;2006;272;15;0;0
0.0705;-125.913;49.154;2006;272;16;0;0
-0.0805;-125.913;49.154;2006;272;17;0;0
-0.1403;-125.913;49.154;2006;272;18;0;0
-0.0765;-125.913;49.154;2006;272;19;0;0
0.1076;-125.913;49.154;2006;272;20;0;0
0.3727;-125.913;49.154;2006;272;21;0;0
0.6537;-125.913;49.154;2006;272;22;0;0
0.8754;-125.913;49.154;2006;272;23;0;0
0.9716;-125.913;49.154;2006;273;0;0;0
0.9016;-125.913;49.154;2006;273;1;0;0
0.6609;-125.913;49.154;2006;273;2;0;0
0.2832;-125.913;49.154;2006;273;3;0;0
-0.1666;-125.913;49.154;2006;273;4;0;0
-0.6065;-125.913;49.154;2006;273;5;0;0
-0.9558;-125.913;49.154;2006;273;6;0;0
-1.1527;-125.913;49.154;2006;273;7;0;0
-1.1675;-125.913;49.154;2006;273;8;0;0
-1.0082;-125.913;49.154;2006;273;9;0;0
-0.7178;-125.913;49.154;2006;273;10;0;0
-0.363;-125.913;49.154;2006;273;11;0;0
-0.0186;-125.913;49.154;2006;273;12;0;0
0.2498;-125.913;49.154;2006;273;13;0;0
0.4003;-125.913;49.154;2006;273;14;0;0
0.4229;-125.913;49.154;2006;273;15;0;0
0.3402;-125.913;49.154;2006;273;16;0;0
0.1996;-125.913;49.154;2006;273;17;0;0
0.0608;-125.913;49.154;2006;273;18;0;0
-0.0206;-125.913;49.154;2006;273;19;0;0
-0.0076;-125.913;49.154;2006;273;20;0;0
0.1086;-125.913;49.154;2006;273;21;0;0
0.306;-125.913;49.154;2006;273;22;0;0
0.5363;-125.913;49.154;2006;273;23;0;0
0.7369;-125.913;49.154;2006;274;0;0;0
0.8462;-125.913;49.154;2006;274;1;0;0
0.8189;-125.913;49.154;2006;274;2;0;0
0.6381;-125.913;49.154;2006;274;3;0;0
0.3209;-125.913;49.154;2006;274;4;0;0
-0.0845;-125.913;49.154;2006;274;5;0;0
-0.5077;-125.913;49.154;2006;274;6;0;0
-0.8715;-125.913;49.154;2006;274;7;0;0
-1.1085;-125.913;49.154;2006;274;8;0;0
-1.1761;-125.913;49.154;2006;274;9;0;0
-1.0656;-125.913;49.154;2006;274;10;0;0
-0.8042;-125.913;49.154;2006;274;11;0;0
-0.4485;-125.913;49.154;2006;274;12;0;0
-0.0718;-125.913;49.154;2006;274;13;0;0
0.2523;-125.913;49.154;2006;274;14;0;0
0.4669;-125.913;49.154;2006;274;15;0;0
0.5435;-125.913;49.154;2006;274;16;0;0
0.4881;-125.913;49.154;2006;274;17;0;0
0.3383;-125.913;49.154;2006;274;18;0;0
0.1532;-125.913;49.154;2006;274;19;0;0
-0.0021;-125.913;49.154;2006;274;20;0;0
-0.0732;-125.913;49.154;2006;274;21;0;0
-0.0306;-125.913;49.154;2006;274;22;0;0
0.1218;-125.913;49.154;2006;274;23;0;0
0.3472;-125.913;49.154;2006;275;0;0;0
0.5842;-125.913;49.154;2006;275;1;0;0
0.7619;-125.913;49.154;2006;275;2;0;0
0.8174;-125.913;49.154;2006;275;3;0;0
0.7129;-125.913;49.154;2006;275;4;0;0
0.4466;-125.913;49.154;2006;275;5;0;0
0.0554;-125.913;49.154;2006;275;6;0;0
-0.392;-125.913;49.154;2006;275;7;0;0
-0.8088;-125.913;49.154;2006;275;8;0;0
-1.1105;-125.913;49.154;2006;275;9;0;0
-1.2341;-125.913;49.154;2006;275;10;0;0
-1.153;-125.913;49.154;2006;275;11;0;0
-0.8842;-125.913;49.154;2006;275;12;0;0
-0.4851;-125.913;49.154;2006;275;13;0;0
-0.0403;-125.913;49.154;2006;275;14;0;0
0.3574;-125.913;49.154;2006;275;15;0;0
0.6287;-125.913;49.154;2006;275;16;0;0
0.7268;-125.913;49.154;2006;275;17;0;0
0.6474;-125.913;49.154;2006;275;18;0;0
0.4299;-125.913;49.154;2006;275;19;0;0
0.1468;-125.913;49.154;2006;275;20;0;0
-0.1148;-125.913;49.154;2006;275;21;0;0
-0.2756;-125.913;49.154;2006;275;22;0;0
-0.2846;-125.913;49.154;2006;275;23;0;0
-0.1331;-125.913;49.154;2006;276;0;0;0
0.1423;-125.913;49.154;2006;276;1;0;0
0.4676;-125.913;49.154;2006;276;2;0;0
0.7501;-125.913;49.154;2006;276;3;0;0
0.9018;-125.913;49.154;2006;276;4;0;0
0.8625;-125.913;49.154;2006;276;5;0;0
0.6169;-125.913;49.154;2006;276;6;0;0
0.2005;-125.913;49.154;2006;276;7;0;0
-0.3062;-125.913;49.154;2006;276;8;0;0
-0.7965;-125.913;49.154;2006;276;9;0;0
-1.1617;-125.913;49.154;2006;276;10;0;0
-1.3179;-125.913;49.154;2006;276;11;0;0
-1.2271;-125.913;49.154;2006;276;12;0;0
-0.9071;-125.913;49.154;2006;276;13;0;0
-0.4286;-125.913;49.154;2006;276;14;0;0
0.101;-125.913;49.154;2006;276;15;0;0
0.5633;-125.913;49.154;2006;276;16;0;0
0.8576;-125.913;49.154;2006;276;17;0;0
0.925;-125.913;49.154;2006;276;18;0;0
0.7633;-125.913;49.154;2006;276;19;0;0
0.4273;-125.913;49.154;2006;276;20;0;0
0.0149;-125.913;49.154;2006;276;21;0;0
-0.3575;-125.913;49.154;2006;276;22;0;0
-0.5854;-125.913;49.154;2006;276;23;0;0
-0.6026;-125.913;49.154;2006;277;0;0;0
-0.3993;-125.913;49.154;2006;277;1;0;0
-0.0258;-125.913;49.154;2006;277;2;0;0
0.4199;-125.913;49.154;2006;277;3;0;0
0.8162;-125.913;49.154;2006;277;4;0;0
1.0491;-125.913;49.154;2006;277;5;0;0
1.0422;-125.913;49.154;2006;277;6;0;0
0.7774;-125.913;49.154;2006;277;7;0;0
0.302;-125.913;49.154;2006;277;8;0;0
-0.2818;-125.913;49.154;2006;277;9;0;0
-0.8404;-125.913;49.154;2006;277;10;0;0
-1.2415;-125.913;49.154;2006;277;11;0;0
-1.3875;-125.913;49.154;2006;277;12;0;0
-1.2403;-125.913;49.154;2006;277;13;0;0
-0.8317;-125.913;49.154;2006;277;14;0;0
-0.2569;-125.913;49.154;2006;277;15;0;0
0.3482;-125.913;49.154;2006;277;16;0;0
0.8405;-125.913;49.154;2006;277;17;0;0
1.105;-125.913;49.154;2006;277;18;0;0
1.0835;-125.913;49.154;2006;277;19;0;0
0.7897;-125.913;49.154;2006;277;20;0;0
0.3057;-125.913;49.154;2006;277;21;0;0
-0.2383;-125.913;49.154;2006;277;22;0;0
-0.6973;-125.913;49.154;2006;277;23;0;0
-0.9483;-125.913;49.154;2006;278;0;0;0
-0.9219;-125.913;49.154;2006;278;1;0;0
-0.621;-125.913;49.154;2006;278;2;0;0
-0.1209;-125.913;49.154;2006;278;3;0;0
0.4493;-125.913;49.154;2006;278;4;0;0
0.9394;-125.913;49.154;2006;278;5;0;0
1.2163;-125.913;49.154;2006;278;6;0;0
1.1987;-125.913;49.154;2006;278;7;0;0
0.8793;-125.913;49.154;2006;278;8;0;0
0.3275;-125.913;49.154;2006;278;9;0;0
-0.3261;-125.913;49.154;2006;278;10;0;0
-0.9222;-125.913;49.154;2006;278;11;0;0
-1.3129;-125.913;49.154;2006;278;12;0;0
-1.3989;-125.913;49.154;2006;278;13;0;0
-1.1554;-125.913;49.154;2006;278;14;0;0
-0.6397;-125.913;49.154;2006;278;15;0;0
0.0226;-125.913;49.154;2006;278;16;0;0
0.6685;-125.913;49.154;2006;278;17;0;0
1.138;-125.913;49.154;2006;278;18;0;0
1.3148;-125.913;49.154;2006;278;19;0;0
1.1558;-125.913;49.154;2006;278;20;0;0
0.7023;-125.913;49.154;2006;278;21;0;0
0.0703;-125.913;49.154;2006;278;22;0;0
-0.5785;-125.913;49.154;2006;278;23;0;0
-1.0779;-125.913;49.154;2006;279;0;0;0
-1.2989;-125.913;49.154;2006;279;1;0;0
-1.1833;-125.913;49.154;2006;279;2;0;0
-0.7585;-125.913;49.154;2006;279;3;0;0
-0.1315;-125.913;49.154;2006;279;4;0;0
0.5384;-125.913;49.154;2006;279;5;0;0
1.0798;-125.913;49.154;2006;279;6;0;0
1.3528;-125.913;49.154;2006;279;7;0;0
1.2852;-125.913;49.154;2006;279;8;0;0
0.8917;-125.913;49.154;2006;279;9;0;0
0.2704;-125.913;49.154;2006;279;10;0;0
-0.4214;-125.913;49.154;2006;279;11;0;0
-1.0067;-125.913;49.154;2006;279;12;0;0
-1.3344;-125.913;49.154;2006;279;13;0;0
-1.3178;-125.913;49.154;2006;279;14;0;0
-0.9575;-125.913;49.154;2006;279;15;0;0
-0.3421;-125.913;49.154;2006;279;16;0;0
0.3737;-125.913;49.154;2006;279;17;0;0
1.0079;-125.913;49.154;2006;279;18;0;0
1.397;-125.913;49.154;2006;279;19;0;0
1.4382;-125.913;49.154;2006;279;20;0;0
1.1155;-125.913;49.154;2006;279;21;0;0
0.5047;-125.913;49.154;2006;279;22;0;0
-0.2452;-125.913;49.154;2006;279;23;0;0
-0.9493;-125.913;49.154;2006;280;0;0;0
-1.4331;-125.913;49.154;2006;280;1;0;0
-1.5767;-125.913;49.154;2006;280;2;0;0
-1.3453;-125.913;49.154;2006;280;3;0;0
-0.7977;-125.913;49.154;2006;280;4;0;0
-0.0715;-125.913;49.154;2006;280;5;0;0
0.6513;-125.913;49.154;2006;280;6;0;0
1.1911;-125.913;49.154;2006;280;7;0;0
1.4158;-125.913;49.154;2006;280;8;0;0
1.2746;-125.913;49.154;2006;280;9;0;0
0.8106;-125.913;49.154;2006;280;10;0;0
0.1497;-125.913;49.154;2006;280;11;0;0
-0.5318;-125.913;49.154;2006;280;12;0;0
-1.0527;-125.913;49.154;2006;280;13;0;0
-1.2732;-125.913;49.154;2006;280;14;0;0
-1.1316;-125.913;49.154;2006;280;15;0;0
-0.6603;-125.913;49.154;2006;280;16;0;0
0.0219;-125.913;49.154;2006;280;17;0;0
0.7393;-125.913;49.154;2006;280;18;0;0
1.3045;-125.913;49.154;2006;280;19;0;0
1.5657;-125.913;49.154;2006;280;20;0;0
1.4461;-125.913;49.154;2006;280;21;0;0
